年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	62011100-  	- - Of wool or fine animal hair	10	 	024	008	62
2019	HS2017	62011200-  	- - Of cotton	10	 	024	008	62
2019	HS2017	62011300-  	- - Of man-made fibres	10	 	024	008	62
2019	HS2017	62011900-  	- - Of other textile materials	10	 	024	008	62
2019	HS2017	62019100-  	- - Of wool or fine animal hair	10	 	024	008	62
2019	HS2017	62019200-  	- - Of cotton	10	 	024	008	62
2019	HS2017	62019300-  	- - Of man-made fibres	10	 	024	008	62
2019	HS2017	62019900-  	- - Of other textile materials	10	 	024	008	62
2019	HS2017	62021100-  	- - Of wool or fine animal hair	10	 	024	008	62
2019	HS2017	62021200-  	- - Of cotton	10	 	024	008	62
2019	HS2017	62021300-  	- - Of man-made fibres	10	 	024	008	62
2019	HS2017	62021900-  	- - Of other textile materials	10	 	024	008	62
2019	HS2017	62029100-  	- - Of wool or fine animal hair	10	 	024	008	62
2019	HS2017	62029200-  	- - Of cotton	10	 	024	008	62
2019	HS2017	62029300-  	- - Of man-made fibres	10	 	024	008	62
2019	HS2017	62029900-  	- - Of other textile materials	10	 	024	008	62
2019	HS2017	62031100-  	- - Of wool or fine animal hair	10	 	024	008	62
2019	HS2017	62031200-  	- - Of synthetic fibres	10	 	024	008	62
2019	HS2017	62031900-  	- - Of other textile materials	10	 	024	008	62
2019	HS2017	62032200-  	- - Of cotton	40	 	024	008	62
2019	HS2017	62032300-  	- - Of synthetic fibres	40	 	024	008	62
2019	HS2017	62032900-  	- - Of other textile materials	40	 	024	008	62
2019	HS2017	62033100-  	- - Of wool or fine animal hair	40	 	024	008	62
2019	HS2017	62033200-  	- - Of cotton	40	 	024	008	62
2019	HS2017	62033300-  	- - Of synthetic fibres	40	 	024	008	62
2019	HS2017	62033900-  	- - Of other textile materials	40	 	024	008	62
2019	HS2017	62034100-  	- - Of wool or fine animal hair	40	 	024	008	62
2019	HS2017	62034200-  	- - Of cotton	40	 	024	008	62
2019	HS2017	62034300-  	- - Of synthetic fibres	40	 	024	008	62
2019	HS2017	62034900-  	- - Of other textile materials	40	 	024	008	62
2019	HS2017	62041100-  	- - Of wool or fine animal hair	10	 	024	008	62
2019	HS2017	62041200-  	- - Of cotton	10	 	024	008	62
2019	HS2017	62041300-  	- - Of synthetic fibres	10	 	024	008	62
2019	HS2017	62041900-  	- - Of other textile materials	10	 	024	008	62
2019	HS2017	62042100-  	- - Of wool or fine animal hair	10	 	024	008	62
2019	HS2017	62042200-  	- - Of cotton	10	 	024	008	62
2019	HS2017	62042300-  	- - Of synthetic fibres	10	 	024	008	62
2019	HS2017	62042900-  	- - Of other textile materials	10	 	024	008	62
2019	HS2017	62043100-  	- - Of wool or fine animal hair	10	 	024	008	62
2019	HS2017	62043200-  	- - Of cotton	10	 	024	008	62
2019	HS2017	62043300-  	- - Of synthetic fibres	10	 	024	008	62
2019	HS2017	62043900-  	- - Of other textile materials	10	 	024	008	62
2019	HS2017	62044100-  	- - Of wool or fine animal hair	10	 	024	008	62
2019	HS2017	62044200-  	- - Of cotton	10	 	024	008	62
2019	HS2017	62044300-  	- - Of synthetic fibres	10	 	024	008	62
2019	HS2017	62044400-  	- - Of artificial fibres	10	 	024	008	62
2019	HS2017	62044900-  	- - Of other textile materials	10	 	024	008	62
2019	HS2017	62045100-  	- - Of wool or fine animal hair	10	 	024	008	62
2019	HS2017	62045200-  	- - Of cotton	10	 	024	008	62
2019	HS2017	62045300-  	- - Of synthetic fibres	10	 	024	008	62
2019	HS2017	62045900-  	- - Of other textile materials	10	 	024	008	62
2019	HS2017	62046100-  	- - Of wool or fine animal hair	40	 	024	008	62
2019	HS2017	62046200-  	- - Of cotton	40	 	024	008	62
2019	HS2017	62046300-  	- - Of synthetic fibres	40	 	024	008	62
2019	HS2017	62046900-  	- - Of other textile materials	40	 	024	008	62
2019	HS2017	62052000-  	- Of cotton	40	 	024	008	62
2019	HS2017	62053000-  	- Of man-made fibres	40	 	024	008	62
2019	HS2017	62059000-  	- Of other textile materials	40	 	024	008	62
2019	HS2017	62061000-  	- Of silk or silk waste	10	 	024	008	62
2019	HS2017	62062000-  	- Of wool or fine animal hair	10	 	024	008	62
