年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	59011000-  	- Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like	2	 	024	008	59
2019	HS2017	59019000-  	- Other	2	 	024	008	59
2019	HS2017	59021000-  	- Of nylon or other polyamides	0	 	024	008	59
2019	HS2017	59022000-  	- Of polyesters	0	 	024	008	59
2019	HS2017	59029000-  	- Other	0	 	024	008	59
2019	HS2017	59031000-  	- With poly(vinyl chloride)	2	 	024	008	59
2019	HS2017	59032000-  	- With polyurethane	2	 	024	008	59
2019	HS2017	59039000-  	- Other	2	 	024	008	59
2019	HS2017	59041000-  	- Linoleum	10	 	024	008	59
2019	HS2017	59049000-  	- Other	10	 	024	008	59
2019	HS2017	59050000-  	Textile wall coverings.	10	 	024	008	59
2019	HS2017	59061000-  	- Adhesive tape of a width not exceeding 20 cm	2	 	024	008	59
2019	HS2017	59069100-  	- - Knitted or crocheted	2	 	024	008	59
2019	HS2017	59069900-  	- - Other	2	 	024	008	59
2019	HS2017	59070000-  	Textile fabrics otherwise impregnated, coated or covered; painted canvas being theatrical scenery, studio back-cloths or the like.	2	 	024	008	59
2019	HS2017	59080000-  	Textile wicks, woven, plaited or knitted , for lamps, stoves, lighters, candles or the like; incandescent gas mantles and tubular knitted gas mantle fabric therefor, whether or not impregnated.	10	 	024	008	59
2019	HS2017	59090000-  	Textile hosepiping and similar textile tubing, with or without lining, armour or accessories of other materials.	2	 	024	008	59
2019	HS2017	59100000-  	Transmission or conveyor belts or belting, of textile material, whether or not impregnated, coated, covered or laminated with plastics, or reinforced with metal or other material.	2	 	024	008	59
2019	HS2017	59111000-  	- Textile fabrics, felt and felt-lined woven fabrics, coated, covered or laminated with rubber, leather or other material, of a kind used for card clothing, and similar fabrics of a kind used for other technical purposes, including narrow fabrics made of velvet impregnated with rubber, for covering weaving spindles (weaving beams)	2	 	024	008	59
2019	HS2017	59112000-  	- Bolting cloth, whether or not made up	2	 	024	008	59
2019	HS2017	59113100-  	- - Weighing less than 650 g/m2	2	 	024	008	59
2019	HS2017	59113200-  	- - Weighing 650 g/m2 or more	2	 	024	008	59
2019	HS2017	59114000-  	- Straining cloth of a kind used in oil presses or the like, including that of human hair	2	 	024	008	59
2019	HS2017	59119000-  	- Other	2	 	024	008	59
