年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	19011000-  	- Preparations suitable for infants or young children, put up for retail sale	2	 	024	008	19
2019	HS2017	19012000-  	- Mixes and doughs for the preparation of bakers' wares of heading 19.05	20	 	024	008	19
2019	HS2017	19019000-  	- Other	20	 	024	008	19
2019	HS2017	19021100-  	- - Containing eggs	20	 	024	008	19
2019	HS2017	19021900-  	- - Other	20	 	024	008	19
2019	HS2017	19022000-  	- Stuffed pasta, whether or not cooked or otherwise prepared	20	 	024	008	19
2019	HS2017	19023000-  	- Other pasta	20	 	024	008	19
2019	HS2017	19024000-  	- Couscous	20	 	024	008	19
2019	HS2017	19030000-  	Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms.	2	 	024	008	19
2019	HS2017	19041000-  	- Prepared foods obtained by the swelling or roasting of cereals or cereal products	2	 	024	008	19
2019	HS2017	19042000-  	- Prepared foods obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes or swelled cereals	2	 	024	008	19
2019	HS2017	19043000-  	- Bulgur wheat	2	 	024	008	19
2019	HS2017	19049000-  	- Other	2	 	024	008	19
2019	HS2017	19051000-  	- Crispbread	30	 	024	008	19
2019	HS2017	19052000-  	- Gingerbread and the like	30	 	024	008	19
2019	HS2017	19053100-  	- - Sweet biscuits	30	 	024	008	19
2019	HS2017	19053200-  	- - Waffles and wafers	30	 	024	008	19
2019	HS2017	19054000-  	- Rusks, toasted bread and similar toasted products	30	 	024	008	19
2019	HS2017	19059010-  	Not provided	0	 	024	008	19
2019	HS2017	19059020-  	Not provided	30	 	024	008	19
2019	HS2017	19059030-  	Not provided	30	 	024	008	19
2019	HS2017	19059090-  	Not provided	30	 	024	008	19
