年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	76011000-  	- Aluminium, not alloyed	0	 	024	008	76
2019	HS2017	76012000-  	- Aluminium alloys	0	 	024	008	76
2019	HS2017	76020000-  	Aluminium waste and scrap.	0	 	024	008	76
2019	HS2017	76031000-  	- Powders of non-lamellar structure	0	 	024	008	76
2019	HS2017	76032000-  	- Powders of lamellar structure; flakes	0	 	024	008	76
2019	HS2017	76041011-  	Not provided	20	 	024	008	76
2019	HS2017	76041012-  	Not provided	30	 	024	008	76
2019	HS2017	76041019-  	Not provided	30	 	024	008	76
2019	HS2017	76042121-  	Not provided	20	 	024	008	76
2019	HS2017	76042122-  	Not provided	30	 	024	008	76
2019	HS2017	76042129-  	Not provided	30	 	024	008	76
2019	HS2017	76042900-  	- - Other	20	 	024	008	76
2019	HS2017	76051100-  	- - Of which the maximum cross-sectional dimension exceeds 7 mm	0	 	024	008	76
2019	HS2017	76051900-  	- - Other	0	 	024	008	76
2019	HS2017	76052100-  	- - Of which the maximum cross-sectional dimension exceeds 7 mm	0	 	024	008	76
2019	HS2017	76052900-  	- - Other	0	 	024	008	76
2019	HS2017	76061110-  	Not provided	0	 	024	008	76
2019	HS2017	76061190-  	Not provided	20	 	024	008	76
2019	HS2017	76061210-  	Not provided	0	 	024	008	76
2019	HS2017	76061290-  	Not provided	20	 	024	008	76
2019	HS2017	76069110-  	Not provided	0	 	024	008	76
2019	HS2017	76069190-  	Not provided	20	 	024	008	76
2019	HS2017	76069210-  	Not provided	0	 	024	008	76
2019	HS2017	76069290-  	Not provided	20	 	024	008	76
2019	HS2017	76071100-  	- - Rolled but not further worked	10	 	024	008	76
2019	HS2017	76071900-  	- - Other	10	 	024	008	76
2019	HS2017	76072000-  	- Backed	10	 	024	008	76
2019	HS2017	76081000-  	- Of aluminium, not alloyed	20	 	024	008	76
2019	HS2017	76082000-  	- Of aluminium alloys	20	 	024	008	76
2019	HS2017	76090000-  	Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves).	10	 	024	008	76
2019	HS2017	76101000-  	- Doors, windows and their frames and thresholds for doors	50	 	024	008	76
2019	HS2017	76109000-  	- Other	50	 	024	008	76
2019	HS2017	76110000-  	Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 l, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment.	20	 	024	008	76
2019	HS2017	76121000-  	- Collapsible tubular containers	30	 	024	008	76
2019	HS2017	76129010-  	Not provided	30	 	024	008	76
2019	HS2017	76129020-  	Not provided	30	 	024	008	76
2019	HS2017	76129090-  	Not provided	30	 	024	008	76
2019	HS2017	76130000-  	Aluminium containers for compressed or liquefied gas.	10	 	024	008	76
2019	HS2017	76141000-  	- With steel core	30	 	024	008	76
2019	HS2017	76149000-  	- Other	30	 	024	008	76
2019	HS2017	76151000-  	- Table, kitchen or other household articles and parts thereof; pot scourers and scouring or polishing pads, gloves and the like	20	 	024	008	76
2019	HS2017	76152000-  	- Sanitary ware and parts thereof	20	 	024	008	76
2019	HS2017	76161000-  	- Nails, tacks, staples (other than those of heading 83.05), screws, bolts, nuts, screw hooks, rivets, cotters, cotter-pins, washers and similar articles	10	 	024	008	76
2019	HS2017	76169100-  	- - Cloth, grill, netting and fencing, of aluminium wire	10	 	024	008	76
2019	HS2017	76169900-  	- - Other	10	 	024	008	76
