年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	13012000-  	- Gum Arabic	0	 	024	008	13
2019	HS2017	13019000-  	- Other	0	 	024	008	13
2019	HS2017	13021100-  	- - Opium	0	 	024	008	13
2019	HS2017	13021200-  	- - Of liquorice	0	 	024	008	13
2019	HS2017	13021300-  	- - Of hops	0	 	024	008	13
2019	HS2017	13021400-  	- - Of ephedra	0	 	024	008	13
2019	HS2017	13021900-  	- - Other	0	 	024	008	13
2019	HS2017	13022000-  	- Pectic substances, pectinates and pectates	0	 	024	008	13
2019	HS2017	13023100-  	- - Agar-agar	0	 	024	008	13
2019	HS2017	13023200-  	- - Mucilages and thickeners, whether or not modified, derived from locust beans, locust bean seeds or guar seeds	0	 	024	008	13
2019	HS2017	13023900-  	- - Other	0	 	024	008	13
