年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	03011100-  	- - Freshwater	30	 	024	008	03
2019	HS2017	03011900-  	- - Other	30	 	024	008	03
2019	HS2017	03019100-  	- - Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)	20	 	024	008	03
2019	HS2017	03019200-  	- - Eels (Anguilla spp.)	20	 	024	008	03
2019	HS2017	03019300-  	- - Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)	20	 	024	008	03
2019	HS2017	03019400-  	- - Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)	20	 	024	008	03
2019	HS2017	03019500-  	- - Southern bluefin tunas (Thunnus maccoyii)	20	 	024	008	03
2019	HS2017	03019900-  	- - Other	20	 	024	008	03
2019	HS2017	03021100-  	- - Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)	20	 	024	008	03
2019	HS2017	03021300-  	- - Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)	20	 	024	008	03
2019	HS2017	03021400-  	- - Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)	20	 	024	008	03
2019	HS2017	03021900-  	- - Other	20	 	024	008	03
2019	HS2017	03022100-  	- - Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)	20	 	024	008	03
2019	HS2017	03022200-  	- - Plaice (Pleuronectes platessa)	20	 	024	008	03
2019	HS2017	03022300-  	- - Sole (Solea spp.)	20	 	024	008	03
2019	HS2017	03022400-  	- - Turbots (Psetta maxima)	20	 	024	008	03
2019	HS2017	03022900-  	- - Other	20	 	024	008	03
2019	HS2017	03023100-  	- - Albacore or longfinned tunas (Thunnus alalunga)	30	 	024	008	03
2019	HS2017	03023200-  	- - Yellowfin tunas (Thunnus albacares)	30	 	024	008	03
2019	HS2017	03023300-  	- - Skipjack or stripe-bellied bonito	30	 	024	008	03
2019	HS2017	03023400-  	- - Bigeye tunas (Thunnus obesus)	30	 	024	008	03
2019	HS2017	03023500-  	- - Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)	30	 	024	008	03
2019	HS2017	03023600-  	- - Southern bluefin tunas (Thunnus maccoyii)	20	 	024	008	03
2019	HS2017	03023900-  	- - Other	20	 	024	008	03
2019	HS2017	03024100-  	- - Herrings (Clupea harengus, Clupea pallasii)	20	 	024	008	03
2019	HS2017	03024200-  	- - Anchovies (Engraulis spp.)	20	 	024	008	03
