年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	50010000-  	Silk-worm cocoons suitable for reeling.	0	 	024	008	50
2019	HS2017	50020000-  	Raw silk (not thrown).	0	 	024	008	50
2019	HS2017	50030000-  	Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock).	0	 	024	008	50
2019	HS2017	50040000-  	Silk yarn (other than yarn spun from silk waste) not put up for retail sale.	0	 	024	008	50
2019	HS2017	50050000-  	Yarn spun from silk waste, not put up for retail sale.	0	 	024	008	50
2019	HS2017	50060000-  	Silk yarn and yarn spun from silk waste, put up for retail sale; silk-worm gut.	0	 	024	008	50
2019	HS2017	50071000-  	- Fabrics of noil silk	2	 	024	008	50
2019	HS2017	50072000-  	- Other fabrics, containing 85 % or more by weight of silk or of silk waste other than noil silk	2	 	024	008	50
2019	HS2017	50079000-  	- Other fabrics	2	 	024	008	50
