年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	79011100-  	- - Containing by weight 99.99 % or more of zinc	0	 	024	008	79
2019	HS2017	79011200-  	- - Containing by weight less than 99.99 % of zinc	0	 	024	008	79
2019	HS2017	79012000-  	- Zinc alloys	0	 	024	008	79
2019	HS2017	79020000-  	Zinc waste and scrap.	30	 	024	008	79
2019	HS2017	79031000-  	- Zinc dust	0	 	024	008	79
2019	HS2017	79039000-  	- Other	0	 	024	008	79
2019	HS2017	79040000-  	Zinc bars, rods, profiles and wire.	10	 	024	008	79
2019	HS2017	79050000-  	Zinc plates, sheets, strip and foil.	30	 	024	008	79
2019	HS2017	79070000-  	Other articles of zinc.	30	 	024	008	79
