年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2017	HS2017	2301101100-  	- - - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2301101200-  	- - - - Destines a etre utilises comme engrais	30	 	012	008	23
2017	HS2017	2301101900-  	- - - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2301102100-  	- - - - Destines a l'alimentation humaine	30	 	012	008	23
2017	HS2017	2301102200-  	- - - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2301102300-  	- - - - Destines a etre utilises comme engrais	30	 	012	008	23
2017	HS2017	2301102900-  	- - - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2301201100-  	- - - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2301201200-  	- - - - Destines a etre utilises comme engrais	30	 	012	008	23
2017	HS2017	2301201900-  	- - - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2301202100-  	- - - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2301202200-  	- - - - Destines a etre utilises comme engrais	30	 	012	008	23
2017	HS2017	2301202900-  	- - - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2302101000-  	- - - Sons de maïs	30	 	012	008	23
2017	HS2017	2302109100-  	- - - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2302109900-  	- - - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2302301000-  	- - - Sons de froment	30	 	012	008	23
2017	HS2017	2302309100-  	- - - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2302309900-  	- - - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2302401000-  	- - - Sonsd'autres cereales	30	 	012	008	23
2017	HS2017	2302409110-  	- - - - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2302409190-  	- - - - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2302409910-  	- - - - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2302409990-  	- - - - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2302501000-  	- - - Sons de legumineuses	30	 	012	008	23
2017	HS2017	2302509100-  	- - - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2302509900-  	- - - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2303101100-  	- - - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2303101900-  	- - - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2303109100-  	- - - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2303109900-  	- - - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2303201100-  	- - - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2303201200-  	- - - - Destines a etre utilises comme engrais	30	 	012	008	23
2017	HS2017	2303201900-  	- - - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2303209100-  	- - - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2303209200-  	- - - - Destines a etre utilises comme engrais	30	 	012	008	23
2017	HS2017	2303209900-  	- - - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2303301000-  	- - - Destines a l'alimentation des animaux	30	 	012	008	23
2017	HS2017	2303302000-  	- - - Destines a etre utilises comme engrais	30	 	012	008	23
2017	HS2017	2303309000-  	- - - Destines a d'autres usages	30	 	012	008	23
2017	HS2017	2304001100-  	- - - - Destines a l'alimentation du betail	5	 	012	008	23
2017	HS2017	2304001900-  	- - - - Autres	5	 	012	008	23
2017	HS2017	2304009100-  	- - - - Farine de feve de sojas deshuiles	5	 	012	008	23
2017	HS2017	2304009900-  	- - - - Autres	5	 	012	008	23
2017	HS2017	2305001000-  	- - - Tourteaux	30	 	012	008	23
2017	HS2017	2305009000-  	- - - Autres residus solides	30	 	012	008	23
2017	HS2017	2306101000-  	- - - Tourteaux	30	 	012	008	23
2017	HS2017	2306109000-  	- - - Autres residus solides	30	 	012	008	23
2017	HS2017	2306201000-  	- - - Tourteaux	30	 	012	008	23
2017	HS2017	2306209000-  	- - - Autres residus solides	30	 	012	008	23
2017	HS2017	2306301000-  	- - - Tourteaux	30	 	012	008	23
2017	HS2017	2306309000-  	- - - Autres residus solides	30	 	012	008	23
2017	HS2017	2306411000-  	- - - Tourteaux  de graines de navette	30	 	012	008	23
2017	HS2017	2306412000-  	- - - Tourteaux  de graines de colza	30	 	012	008	23
2017	HS2017	2306419000-  	- - - Autres residus solides de graines de navette ou de colza	30	 	012	008	23
2017	HS2017	2306491000-  	- - - Tourteaux  de graines de navette	30	 	012	008	23
2017	HS2017	2306492000-  	- - - Tourteaux  de graines de colza	30	 	012	008	23
2017	HS2017	2306499000-  	- - - Autres residus solides de graines de navette ou de colza	30	 	012	008	23
2017	HS2017	2306501100-  	- - - - Tourteaux	30	 	012	008	23
2017	HS2017	2306501900-  	- - - - Autres residus solides	30	 	012	008	23
2017	HS2017	2306502100-  	- - - - Tourteaux	30	 	012	008	23
2017	HS2017	2306502900-  	- - - - Autres residus solides	30	 	012	008	23
2017	HS2017	2306601100-  	- - - - Tourteaux	30	 	012	008	23
2017	HS2017	2306601900-  	- - - - Autres residus solides	30	 	012	008	23
2017	HS2017	2306602100-  	- - - - Tourteaux	30	 	012	008	23
2017	HS2017	2306602900-  	- - - - Autres residus solides	30	 	012	008	23
2017	HS2017	2306901100-  	- - - - Tourteaux	30	 	012	008	23
2017	HS2017	2306901900-  	- - - - Autres residus solides	30	 	012	008	23
2017	HS2017	2306909100-  	- - - - Grignons d'olives et autres residus de l'extraction de l'huile d'olive	30	 	012	008	23
2017	HS2017	2306909900-  	- - - - Autres	30	 	012	008	23
2017	HS2017	2307001100-  	- - - - Destinees a etre employees dans la preparation d'aliments pour le betail	30	 	012	008	23
2017	HS2017	2307001900-  	- - - - Autres	30	 	012	008	23
2017	HS2017	2307002100-  	- - - - Destinees a etre employees dans la preparation d'aliments pour le betail	30	 	012	008	23
2017	HS2017	2307002900-  	- - - - Autres	30	 	012	008	23
2017	HS2017	2308001000-  	- - - Glands et marrons d'Inde	30	 	012	008	23
2017	HS2017	2308002000-  	- - - Epis de maïs egrenes, tiges et feuilles de maïs	30	 	012	008	23
2017	HS2017	2308003000-  	- - - Fanes de carottes et feuilles de betteraves	30	 	012	008	23
2017	HS2017	2308004000-  	- - - Epluchures de legumes (cosses de pois ou de haricots, etc.)	30	 	012	008	23
2017	HS2017	2308005000-  	- - - Dechets de fruits et marcs de fruits	30	 	012	008	23
2017	HS2017	2308006000-  	- - - Residus de la decortication des graines de moutarde	30	 	012	008	23
2017	HS2017	2308007000-  	- - - Residus de la decortication des graines de colza	30	 	012	008	23
2017	HS2017	2308008000-  	- - - Residus de la preparation de succedanes du cafe	30	 	012	008	23
2017	HS2017	2308009100-  	- - - - Residu «pellet waste» provenant du nettoyage des racines de manico avant leur «pellelisation»	30	 	012	008	23
2017	HS2017	2308009900-  	- - - - Autres	30	 	012	008	23
2017	HS2017	2309101000-  	- - - Contenant de l'amidon ou de la fecule, du glucose ou du sirop de glucose, de la maltodextrine ou du sirop de maltodextrine	30	 	012	008	23
2017	HS2017	2309102000-  	- - - Ne contenant ni amidon ou fecule, ni glucose ou sirop de glucose ni maltodextrine ou sirop de maltodextrine et contenant des produits laitiers	30	 	012	008	23
2017	HS2017	2309109000-  	- - - Autres	30	 	012	008	23
2017	HS2017	2309901000-  	- - - Preparations pour l'allaitement des veaux	15	 	012	008	23
2017	HS2017	2309902000-  	- - - Stenerol, oligo-elements, ampromix plus	15	 	012	008	23
2017	HS2017	2309903000-  	- - - Zinc bacitracine destine a la fabrication des aliments pour le betail	15	 	012	008	23
2017	HS2017	2309904000-  	- - - Concentre mineral vitamine et/ou azote	15	 	012	008	23
2017	HS2017	2309909100-  	- - - - Aliments pour chiens ou chats, non conditionnes pour la vente au detail	15	 	012	008	23
2017	HS2017	2309909200-  	- - - - Preparations alimentaires pour oiseaux	15	 	012	008	23
2017	HS2017	2309909900-  	- - - - Autres	15	 	012	008	23
