年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2017	HS2017	4301100000-  	- De visons, entières, même sans les têtes, queues ou pattes	30	 	012	008	43
2017	HS2017	4301300000-  	- D'agneaux dits astrakan, breitschwanz, caracul, persianer ou similaires, d'agneaux des Indes, de Chine, de Mongolie ou du Tibet, entières, même sans les têtes, queues ou pattes	30	 	012	008	43
2017	HS2017	4301600000-  	- De renards, entières, même sans les têtes, queues ou pattes	30	 	012	008	43
2017	HS2017	4301801000-  	- - - De ratons laveurs	30	 	012	008	43
2017	HS2017	4301802000-  	- - - De lynx, chats-sauvages	30	 	012	008	43
2017	HS2017	4301803000-  	- - - De loutres, a l'exception des loutres de mer	30	 	012	008	43
2017	HS2017	4301804000-  	- - - D'opossums	30	 	012	008	43
2017	HS2017	4301805000-  	- - - De coyotes	30	 	012	008	43
2017	HS2017	4301806000-  	- - - De coypous, nutrias	30	 	012	008	43
2017	HS2017	4301807000-  	- - - De castors	30	 	012	008	43
2017	HS2017	4301809100-  	- - - - De rats musques	30	 	012	008	43
2017	HS2017	4301809200-  	- - - - De phoques ou d'otaries	30	 	012	008	43
2017	HS2017	4301809900-  	- - - - Autres	30	 	012	008	43
2017	HS2017	4301901000-  	- - - Tetes, queues, pattes utilisables en pelleterie	30	 	012	008	43
2017	HS2017	4301902000-  	- - - autres morceaux utilisables en pelleterie	30	 	012	008	43
2017	HS2017	4302110000-  	- - De visons	30	 	012	008	43
2017	HS2017	4302191000-  	- - - De castors	30	 	012	008	43
2017	HS2017	4302192000-  	- - - De rats musques	30	 	012	008	43
2017	HS2017	4302193000-  	- - - De renards	30	 	012	008	43
2017	HS2017	4302194000-  	- - - De lapins ou de lievres	30	 	012	008	43
2017	HS2017	4302195100-  	"- - - - De bebes phoques harpes (""a manteau blanc"") ou de bebes phoques a capuchon (""a dos bleu"")"""	30	 	012	008	43
2017	HS2017	4302195900-  	- - - - Autres	30	 	012	008	43
2017	HS2017	4302196000-  	- - - De loutres de mer ou de nutries (ragondins)	30	 	012	008	43
2017	HS2017	4302197000-  	- - - De murmel	30	 	012	008	43
2017	HS2017	4302198000-  	- - - De felides sauvages	30	 	012	008	43
2017	HS2017	4302199100-  	- - - - D'ovins	30	 	012	008	43
2017	HS2017	4302199900-  	- - - - Autres	30	 	012	008	43
2017	HS2017	4302201000-  	- - - Dechets et chutes	30	 	012	008	43
2017	HS2017	4302202100-  	- - - - De lapin ou de lievre	30	 	012	008	43
2017	HS2017	4302202200-  	- - - -d'otaries, de loutres de mer, de nutries et de castors	30	 	012	008	43
2017	HS2017	4302202300-  	- - - - de petits gris,d'hamsters, de poulains, de mouflonsd'Asie, de chiens de Chine, de chevres et de moutons de Chine	30	 	012	008	43
2017	HS2017	4302202900-  	- - - - autres	30	 	012	008	43
2017	HS2017	4302301000-  	"- - - Peaux dites ""allongees"""	30	 	012	008	43
2017	HS2017	4302309100-  	- - - - De visons	30	 	012	008	43
2017	HS2017	4302309200-  	- - - - De lapins ou de lievres	30	 	012	008	43
2017	HS2017	4302309300-  	"- - - - D'agneaux dits ""astrakan"", ""breitschwanz"", ""caracul"", ""persianer"" ou similaires, d'agneaux des Indes, de chine, de Mongolie ou du Tibet"""	30	 	012	008	43
2017	HS2017	4302309400-  	- - - - De rats musques	30	 	012	008	43
2017	HS2017	4302309500-  	- - - - De renards	30	 	012	008	43
2017	HS2017	4302309600-  	- - - - De phoques ou d'otaries	30	 	012	008	43
2017	HS2017	4302309700-  	- - - - De loutres de mer ou de nutries (ragondins)	30	 	012	008	43
2017	HS2017	4302309800-  	- - - - De felides sauvages	30	 	012	008	43
2017	HS2017	4302309900-  	- - - - Autres	30	 	012	008	43
2017	HS2017	4303101000-  	- - - Gants et moufles (mitaines)	30	 	012	008	43
2017	HS2017	4303102000-  	- - - Vetement en cuir doubles de fourrures	30	 	012	008	43
2017	HS2017	4303109100-  	- - - - Manteaux et cabans	30	 	012	008	43
2017	HS2017	4303109200-  	- - - - Blousons et articles similaires	30	 	012	008	43
2017	HS2017	4303109900-  	- - - - Autres	30	 	012	008	43
2017	HS2017	4303901000-  	- - - Manchons pour rouleaux a peindre ou a decorer	30	 	012	008	43
2017	HS2017	4303909000-  	- - - Autres	30	 	012	008	43
2017	HS2017	4304001000-  	- - - Pelleteries factices	30	 	012	008	43
2017	HS2017	4304002000-  	- - - Articles en pelleteries factices	30	 	012	008	43
