年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2017	HS2017	4501100000-  	- Liège naturel brut ou simplement préparé	5	 	012	008	45
2017	HS2017	4501901000-  	- - - Liege concasse, granule ou pulverise	5	 	012	008	45
2017	HS2017	4501902000-  	- - - Dechets de liege	5	 	012	008	45
2017	HS2017	4502001000-  	- - - Plaques de liege	5	 	012	008	45
2017	HS2017	4502009010-  	- - - Feuilles de liege renforcees de papier ou de tissu	5	 	012	008	45
2017	HS2017	4502009090-  	- - - Autres	5	 	012	008	45
2017	HS2017	4503101000-  	- - - Cylindriques	30	 	012	008	45
2017	HS2017	4503109000-  	- - - Autres	30	 	012	008	45
2017	HS2017	4503901000-  	- - - Objets et articlesd'art et de decoration faits a la main	30	 	012	008	45
2017	HS2017	4503909100-  	- - - - Flotteurs pour filets de peche en liege	30	 	012	008	45
2017	HS2017	4503909200-  	- - - - Manches de couteaux ou d'autres articles, en liege	30	 	012	008	45
2017	HS2017	4503909300-  	- - - - Joints en liege	30	 	012	008	45
2017	HS2017	4503909900-  	- - - - Autres	30	 	012	008	45
2017	HS2017	4504101000-  	- - - Cubes, briques, plaques, feuilles et bandes	30	 	012	008	45
2017	HS2017	4504102000-  	- - - Carreaux de toute forme	30	 	012	008	45
2017	HS2017	4504103000-  	- - - Cylindres pleins, y compris les disques	30	 	012	008	45
2017	HS2017	4504901000-  	- - - Bouchons	30	 	012	008	45
2017	HS2017	4504902000-  	- - - Flotteurs pour filets de peche en liege	30	 	012	008	45
2017	HS2017	4504903000-  	- - - Joints	30	 	012	008	45
2017	HS2017	4504904000-  	- - - Rondelles ou disques pour fond de capsules	30	 	012	008	45
2017	HS2017	4504909000-  	- - - Autres	30	 	012	008	45
