年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2017	HS2017	1001110000-  	- - De semence	0	 	012	008	10
2017	HS2017	1001190000-  	- - Autres	5	 	012	008	10
2017	HS2017	1001911000-  	- - - Ble tendre	0	 	012	008	10
2017	HS2017	1001919000-  	- - - Autres	0	 	012	008	10
2017	HS2017	1001991000-  	- - - Ble tendre	5	 	012	008	10
2017	HS2017	1001999000-  	- - - Autres	5	 	012	008	10
2017	HS2017	1002100000-  	- De semence	15	 	012	008	10
2017	HS2017	1002900000-  	- Autres	15	 	012	008	10
2017	HS2017	1003100000-  	- De semence	5	 	012	008	10
2017	HS2017	1003900000-  	- Autres	5	 	012	008	10
2017	HS2017	1004100000-  	- De semence	5	 	012	008	10
2017	HS2017	1004900000-  	- Autres	15	 	012	008	10
2017	HS2017	1005100000-  	- De semence	5	 	012	008	10
2017	HS2017	1005900000-  	- Autre	5	 	012	008	10
2017	HS2017	1006101000-  	- - - De semence	5	 	012	008	10
2017	HS2017	1006109000-  	- - - Autres	5	 	012	008	10
2017	HS2017	1006201000-  	- - - Etuve	5	 	012	008	10
2017	HS2017	1006209000-  	- - - Autres	5	 	012	008	10
2017	HS2017	1006301000-  	- - - etuve	5	 	012	008	10
2017	HS2017	1006309000-  	- - - Autres	5	 	012	008	10
2017	HS2017	1006400000-  	- Riz en brisures	5	 	012	008	10
2017	HS2017	1007100000-  	- De semence	5	 	012	008	10
2017	HS2017	1007900000-  	- Autres	15	 	012	008	10
2017	HS2017	1008101000-  	- - - De semence	5	 	012	008	10
2017	HS2017	1008109000-  	- - - Autres	15	 	012	008	10
2017	HS2017	1008210000-  	- - De semence	5	 	012	008	10
2017	HS2017	1008290000-  	- - Autres	30	 	012	008	10
2017	HS2017	1008301000-  	- - - De semence	5	 	012	008	10
2017	HS2017	1008309000-  	- - - Autres	30	 	012	008	10
2017	HS2017	1008401000-  	- - - De semence	5	 	012	008	10
2017	HS2017	1008409000-  	- - - Autres	30	 	012	008	10
2017	HS2017	1008501000-  	- - - De semence	5	 	012	008	10
2017	HS2017	1008509000-  	- - - Autres	30	 	012	008	10
2017	HS2017	1008601000-  	- - - De semence	5	 	012	008	10
2017	HS2017	1008609000-  	- - - Autres	30	 	012	008	10
2017	HS2017	1008901000-  	- - - De semence	5	 	012	008	10
2017	HS2017	1008909100-  	- - - - Dari	30	 	012	008	10
2017	HS2017	1008909900-  	- - - - Autres	30	 	012	008	10
