年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2017	HS2017	5201001000-  	- - - Coton hydrophile ou blanchi	5	 	012	008	52
2017	HS2017	5201009000-  	- - - Autres	5	 	012	008	52
2017	HS2017	5202100000-  	- Déchets de fils	5	 	012	008	52
2017	HS2017	5202910000-  	- - Effilochés	5	 	012	008	52
2017	HS2017	5202990000-  	- - Autres	5	 	012	008	52
2017	HS2017	5203001000-  	- - - Ecru, decrue ou blanchi	5	 	012	008	52
2017	HS2017	5203009000-  	- - - Autres	5	 	012	008	52
2017	HS2017	5204111100-  	- - - - Teintes et conditionnes dans des sacs n’excedant pas 1Kg	15	 	012	008	52
2017	HS2017	5204111900-  	- - - - Autres, prepares par methode traditionnelle	15	 	012	008	52
2017	HS2017	5204119000-  	- - - Autres	15	 	012	008	52
2017	HS2017	5204190000-  	- - Autres	15	 	012	008	52
2017	HS2017	5204201100-  	- - - - Teintes	30	 	012	008	52
2017	HS2017	5204201900-  	- - - - Autres	30	 	012	008	52
2017	HS2017	5204209100-  	- - - - Contenant au moins 85 % en poids de coton	30	 	012	008	52
2017	HS2017	5204209900-  	- - - - Autres	30	 	012	008	52
2017	HS2017	5205111000-  	- - - Ecrus	15	 	012	008	52
2017	HS2017	5205112000-  	- - - Decrues	15	 	012	008	52
2017	HS2017	5205113000-  	- - - Blanchis	15	 	012	008	52
2017	HS2017	5205119000-  	- - - Autres	15	 	012	008	52
2017	HS2017	5205121000-  	- - - Ecrus	15	 	012	008	52
2017	HS2017	5205122000-  	- - - Decrues	15	 	012	008	52
2017	HS2017	5205123000-  	- - - Blanchis	15	 	012	008	52
2017	HS2017	5205129000-  	- - - Autres	15	 	012	008	52
2017	HS2017	5205131000-  	- - - Ecrus	15	 	012	008	52
2017	HS2017	5205132000-  	- - - Decrues	15	 	012	008	52
2017	HS2017	5205133000-  	- - - Blanchis	15	 	012	008	52
2017	HS2017	5205139000-  	- - - Autres	15	 	012	008	52
2017	HS2017	5205141000-  	- - - Ecrus	15	 	012	008	52
2017	HS2017	5205142000-  	- - - Decrues	15	 	012	008	52
2017	HS2017	5205143000-  	- - - Blanchis	15	 	012	008	52
2017	HS2017	5205149000-  	- - - Autres	15	 	012	008	52
2017	HS2017	5205151000-  	- - - Ecrus	15	 	012	008	52
2017	HS2017	5205152000-  	- - - Decrues	15	 	012	008	52
2017	HS2017	5205153000-  	- - - Blanchis	15	 	012	008	52
2017	HS2017	5205159000-  	- - - Autres	15	 	012	008	52
2017	HS2017	5205211000-  	- - - Ecrus	15	 	012	008	52
2017	HS2017	5205212000-  	- - - Decrues	15	 	012	008	52
2017	HS2017	5205213000-  	- - - Blanchis	15	 	012	008	52
2017	HS2017	5205219000-  	- - - Autres	15	 	012	008	52
2017	HS2017	5205221000-  	- - - Ecrus	15	 	012	008	52
2017	HS2017	5205222000-  	- - - Decrues	15	 	012	008	52
2017	HS2017	5205223000-  	- - - Blanchis	15	 	012	008	52
2017	HS2017	5205229000-  	- - - Autres	15	 	012	008	52
2017	HS2017	5205231000-  	- - - Ecrus	15	 	012	008	52
2017	HS2017	5205232000-  	- - - Decrues	15	 	012	008	52
2017	HS2017	5205233000-  	- - - Blanchis	15	 	012	008	52
2017	HS2017	5205239000-  	- - - Autres	15	 	012	008	52
2017	HS2017	5205241000-  	- - - Ecrus	15	 	012	008	52
2017	HS2017	5205242000-  	- - - Decrues	15	 	012	008	52
