年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2017	HS2017	0101211100-  	- - - - De pur sang arabe	5	 	012	008	01
2017	HS2017	0101211900-  	- - - - Autres que de pur sang arabe	5	 	012	008	01
2017	HS2017	0101219100-  	- - - - De pur sang arabe	5	 	012	008	01
2017	HS2017	0101219900-  	- - - - Autres	5	 	012	008	01
2017	HS2017	0101291000-  	- - - De course	30	 	012	008	01
2017	HS2017	0101292000-  	- - - Pour abattage	30	 	012	008	01
2017	HS2017	0101293100-  	- - - - Etalons et hongres	30	 	012	008	01
2017	HS2017	0101293200-  	- - - - juments	30	 	012	008	01
2017	HS2017	0101293300-  	- - - - Poulains et pouliches	30	 	012	008	01
2017	HS2017	0101293400-  	- - - - Poneys et ponettes	30	 	012	008	01
2017	HS2017	0101299100-  	- - - - Etalons et hongres	30	 	012	008	01
2017	HS2017	0101299200-  	- - - - juments	30	 	012	008	01
2017	HS2017	0101299300-  	- - - - Poulains et pouliches	30	 	012	008	01
2017	HS2017	0101299400-  	- - - - Poneys et ponettes	30	 	012	008	01
2017	HS2017	0101301000-  	- - - Reproducteurs de race pure	5	 	012	008	01
2017	HS2017	0101309110-  	- - - - - Anes	30	 	012	008	01
2017	HS2017	0101309120-  	- - - - - Anesses	30	 	012	008	01
2017	HS2017	0101309130-  	- - - - - Anons	30	 	012	008	01
2017	HS2017	0101309900-  	- - - - Autres que des especes domestiques	30	 	012	008	01
2017	HS2017	0101901100-  	- - - - Des especes domestiques	30	 	012	008	01
2017	HS2017	0101901900-  	- - - - Autres que des especes domestiques	30	 	012	008	01
2017	HS2017	0101902100-  	- - - - Des especes domestiques	30	 	012	008	01
2017	HS2017	0101902900-  	- - - - Autres que des especes domestiques	30	 	012	008	01
2017	HS2017	0102210000-  	- - Reproducteurs de race pure	5	 	012	008	01
2017	HS2017	0102291000-  	- - - Vaches laitieres	5	 	012	008	01
2017	HS2017	0102292000-  	- - - Genisses pleines et veles	5	 	012	008	01
2017	HS2017	0102299110-  	- - - - - Veaux (qui n’ont pas de dents de remplacement)	30	 	012	008	01
2017	HS2017	0102299120-  	- - - - - Taureaux, boeufs et taurillons	30	 	012	008	01
2017	HS2017	0102299130-  	- - - - - Vaches	30	 	012	008	01
2017	HS2017	0102299190-  	- - - - - Autres	30	 	012	008	01
2017	HS2017	0102299910-  	- - - - - Veaux (qui n’ont pas de dents de remplacement)	30	 	012	008	01
2017	HS2017	0102299920-  	- - - - - Taureaux, boeufs et taurillons	30	 	012	008	01
2017	HS2017	0102299930-  	- - - - - Vaches	30	 	012	008	01
2017	HS2017	0102299990-  	- - - - - Autres	30	 	012	008	01
2017	HS2017	0102310000-  	- - Reproducteurs de race pure	5	 	012	008	01
2017	HS2017	0102390000-  	- - Autres	30	 	012	008	01
2017	HS2017	0102901000-  	- - - Reproducteurs de race pure	5	 	012	008	01
2017	HS2017	0102909100-  	- - - - Antilopes de la sous-famille Bovinae	30	 	012	008	01
2017	HS2017	0102909900-  	- - - - Autres	30	 	012	008	01
2017	HS2017	0103100000-  	- Reproducteurs de race pure	5	 	012	008	01
2017	HS2017	0103911000-  	- - - Des especes domestiques	30	 	012	008	01
2017	HS2017	0103919000-  	- - - Autres	30	 	012	008	01
2017	HS2017	0103921000-  	- - - Des especes domestiques	30	 	012	008	01
2017	HS2017	0103929000-  	- - - Autres	30	 	012	008	01
2017	HS2017	0104101000-  	- - - Reproducteurs de race pure :	5	 	012	008	01
2017	HS2017	0104109110-  	- - - - - Pour abattage	30	 	012	008	01
2017	HS2017	0104109191-  	- - - - - - Agneaux et agnelles (qui n’ont pas de dents de remplacement)	30	 	012	008	01
2017	HS2017	0104109192-  	- - - - - - Brebis	30	 	012	008	01
2017	HS2017	0104109199-  	- - - - - - Autres	30	 	012	008	01
2017	HS2017	0104109900-  	- - - - Autres que des especes domestiques	30	 	012	008	01
2017	HS2017	0104201000-  	- - - Reproducteurs de race pure	5	 	012	008	01
2017	HS2017	0104209110-  	- - - - - Pour abattage	30	 	012	008	01
2017	HS2017	0104209191-  	- - - - - - Chevres	30	 	012	008	01
2017	HS2017	0104209192-  	- - - - - - Chevreaux (qui n’ont pas de dents de remplacement)	30	 	012	008	01
2017	HS2017	0104209199-  	- - - - - - Autres	30	 	012	008	01
2017	HS2017	0104209900-  	- - - - Autres que des especes domestiques	30	 	012	008	01
2017	HS2017	0105111000-  	"- - - Poussins dits d'un jour ""chair"""	5	 	012	008	01
2017	HS2017	0105112000-  	"- - - Poussins dits d'un jour ""ponte"""	5	 	012	008	01
2017	HS2017	0105113000-  	"- - - Poussins dits d'un jour ""repro-chair"""	5	 	012	008	01
2017	HS2017	0105114000-  	"- - - Poussin dits d'un jour ""repro-ponte"""	5	 	012	008	01
2017	HS2017	0105121000-  	"- - - Dindes et dindons, dit ""d'un jour"", destines a donner des reproducteurs"""	5	 	012	008	01
2017	HS2017	0105122000-  	"- - - Dindes et dindons dit ""d'un jour"" de race de chair"""	5	 	012	008	01
2017	HS2017	0105123000-  	"- - - Dindes et dindons dit ""d'un jour"" de race de ponte"""	5	 	012	008	01
2017	HS2017	0105131000-  	"- - - Canards dit ""d'un jour"", destines a donner des reproducteurs"""	30	 	012	008	01
2017	HS2017	0105132000-  	"- - - Canards dit ""d'un jour"" de race de chair"""	30	 	012	008	01
2017	HS2017	0105133000-  	"- - - Canards dit ""d'un jour"" de race de ponte"""	30	 	012	008	01
2017	HS2017	0105141000-  	"- - - Oies dit ""d'un jour"", destines a donner des reproducteurs"""	30	 	012	008	01
2017	HS2017	0105142000-  	"- - - Oies dit ""d'un jour"" de race de chair"""	30	 	012	008	01
2017	HS2017	0105143000-  	"- - - Oies dit ""d'un jour"" de race de ponte"""	30	 	012	008	01
2017	HS2017	0105151000-  	"- - - Pintades dit ""d'un jour"", destines a donner des reproducteurs"""	30	 	012	008	01
2017	HS2017	0105152000-  	"- - - Pintades dit ""d'un jour"" de race de chair"""	30	 	012	008	01
2017	HS2017	0105153000-  	"- - - Pintades dit ""d'un jour"" de race de ponte"""	30	 	012	008	01
2017	HS2017	0105941100-  	- - - - Reproducteurs	30	 	012	008	01
2017	HS2017	0105941200-  	- - - - Pour abattage	30	 	012	008	01
2017	HS2017	0105941900-  	- - - - Autres	30	 	012	008	01
2017	HS2017	0105942100-  	- - - - Reproducteurs	30	 	012	008	01
2017	HS2017	0105942200-  	- - - - Pour abattage	30	 	012	008	01
2017	HS2017	0105942900-  	- - - - Autres	30	 	012	008	01
2017	HS2017	0105991100-  	- - - - Reproducteurs	30	 	012	008	01
2017	HS2017	0105991200-  	- - - - Pour abattage	30	 	012	008	01
2017	HS2017	0105991900-  	- - - - Autres	30	 	012	008	01
2017	HS2017	0105992100-  	- - - - Reproducteurs	30	 	012	008	01
2017	HS2017	0105992200-  	- - - - Pour abattage	30	 	012	008	01
2017	HS2017	0105992900-  	- - - - Autres	30	 	012	008	01
2017	HS2017	0105993100-  	- - - - Reproducteurs	30	 	012	008	01
2017	HS2017	0105993200-  	- - - - Pour abattage	30	 	012	008	01
2017	HS2017	0105993900-  	- - - - Autres	30	 	012	008	01
2017	HS2017	0105994100-  	- - - - Reproducteurs	30	 	012	008	01
