年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	71011000-  	–  Natural pearls	2	 	008	012	71
2019	HS2017	71012100-  	– –  Unworked	2	 	008	012	71
2019	HS2017	71012200-  	– –  Worked	2	 	008	012	71
2019	HS2017	71021000-  	–  Unsorted	2	 	008	012	71
2019	HS2017	71022100-  	– –  Unworked or simply sawn, cleaved or bruted	2	 	008	012	71
2019	HS2017	71022900-  	– –  Other	2	 	008	012	71
2019	HS2017	71023100-  	– –  Unworked or simply sawn, cleaved or bruted	2	 	008	012	71
2019	HS2017	71023900-  	– –  Other	2	 	008	012	71
2019	HS2017	71031000-  	–  Unworked or simply sawn or roughly shaped	2	 	008	012	71
2019	HS2017	71039100-  	– –  Rubies, sapphires and emeralds	2	 	008	012	71
2019	HS2017	71039900-  	– –  Other	2	 	008	012	71
2019	HS2017	71041000-  	–  Piezoelectric quartz	2	 	008	012	71
2019	HS2017	71042000-  	–  Other, unworked or simply sawn or roughly shaped	2	 	008	012	71
2019	HS2017	71049000-  	–  Other	2	 	008	012	71
2019	HS2017	71051000-  	–  Of diamonds	2	 	008	012	71
2019	HS2017	71059000-  	–  Other	2	 	008	012	71
2019	HS2017	71061000-  	–  Powder	2	 	008	012	71
2019	HS2017	71069100-  	– –  Unwrought	2	 	008	012	71
2019	HS2017	71069200-  	– –  Semi-manufactured	2	 	008	012	71
2019	HS2017	71070000-  	Base metals clad with silver, not further worked than semi-manufactured	2	 	008	012	71
2019	HS2017	71081100-  	– –  Powder	2	 	008	012	71
2019	HS2017	71081200-  	– –  Other unwrought forms	2	 	008	012	71
2019	HS2017	71081310-  	– – –  Bars, rods, wire and sections; plates; sheets and strips of a thickness, excluding any backing, exceeding 0,15 mm	2	 	008	012	71
2019	HS2017	71081380-  	– – –  Other	2	 	008	012	71
2019	HS2017	71082000-  	–  Monetary	2	 	008	012	71
2019	HS2017	71090000-  	Base metals or silver, clad with gold, not further worked than semi-manufactured	2	 	008	012	71
2019	HS2017	71101100-  	– –  Unwrought or in powder form	2	 	008	012	71
2019	HS2017	71101910-  	– – –  Bars, rods, wire and sections; plates; sheets and strips of a thickness, excluding any backing, exceeding 0,15 mm	2	 	008	012	71
2019	HS2017	71101980-  	– – –  Other	2	 	008	012	71
2019	HS2017	71102100-  	– –  Unwrought or in powder form	2	 	008	012	71
2019	HS2017	71102900-  	– –  Other	2	 	008	012	71
2019	HS2017	71103100-  	– –  Unwrought or in powder form	2	 	008	012	71
2019	HS2017	71103900-  	– –  Other	2	 	008	012	71
2019	HS2017	71104100-  	– –  Unwrought or in powder form	2	 	008	012	71
2019	HS2017	71104900-  	– –  Other	2	 	008	012	71
2019	HS2017	71110000-  	Base metals, silver or gold, clad with platinum, not further worked than semi-manufactured	2	 	008	012	71
2019	HS2017	71123000-  	–  Ash containing precious metal or precious-metal compounds	2	 	008	012	71
2019	HS2017	71129100-  	– –  Of gold, including metal clad with gold but excluding sweepings containing other precious metals	2	 	008	012	71
2019	HS2017	71129200-  	– –  Of platinum, including metal clad with platinum but excluding sweepings containing other precious metals	2	 	008	012	71
2019	HS2017	71129900-  	– –  Other	2	 	008	012	71
2019	HS2017	71131100-  	– –  Of silver, whether or not plated or clad with other precious metal	15	 	008	012	71
2019	HS2017	71131900-  	– –  Of other precious metal, whether or not plated or clad with precious metal	15	 	008	012	71
2019	HS2017	71132000-  	–  Of base metal clad with precious metal	15	 	008	012	71
2019	HS2017	71141100-  	– –  Of silver, whether or not plated or clad with other precious metal	15	 	008	012	71
2019	HS2017	71141900-  	– –  Of other precious metal, whether or not plated or clad with precious metal	15	 	008	012	71
2019	HS2017	71142000-  	–  Of base metal clad with precious metal	15	 	008	012	71
2019	HS2017	71151000-  	–  Catalysts in the form of wire cloth or grill, of platinum	10	 	008	012	71
2019	HS2017	71159000-  	–  Other	10	 	008	012	71
2019	HS2017	71161000-  	–  Of natural or cultured pearls	15	 	008	012	71
2019	HS2017	71162011-  	– –  Necklaces, bracelets and other articles made wholly of natural precious or semi-precious stones, simply strung without fasteners or other accessories	15	 	008	012	71
2019	HS2017	71162080-  	– –  Other	15	 	008	012	71
2019	HS2017	71171100-  	– –  Cuff links and studs	15	 	008	012	71
2019	HS2017	71171900-  	– –  Other	15	 	008	012	71
2019	HS2017	71179000-  	–  Other	15	 	008	012	71
2019	HS2017	71181000-  	–  Coin (other than gold coin), not being legal tender	15	 	008	012	71
2019	HS2017	71189000-  	–  Other	15	 	008	012	71
