年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	45011000-  	–  Natural cork, raw or simply prepared	2	 	008	012	45
2019	HS2017	45019000-  	–  Other	2	 	008	012	45
2019	HS2017	45020000-  	Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip (including sharp-edged blanks for corks or stoppers)	2	 	008	012	45
2019	HS2017	45031010-  	– –  Cylindrical	2	 	008	012	45
2019	HS2017	45031090-  	– –  Other	2	 	008	012	45
2019	HS2017	45039000-  	–  Other	2	 	008	012	45
2019	HS2017	45041011-  	– – –  For sparkling wine, including those with discs of natural cork	2	 	008	012	45
2019	HS2017	45041019-  	– – –  Other	2	 	008	012	45
2019	HS2017	45041091-  	– – –  With a binding substance	2	 	008	012	45
2019	HS2017	45041099-  	– – –  Other	2	 	008	012	45
2019	HS2017	45049020-  	– –  Corks and stoppers	2	 	008	012	45
2019	HS2017	45049080-  	– –  Other	2	 	008	012	45
