年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	36010000-  	Propellent powders	2	 	008	012	36
2019	HS2017	36020000-  	Prepared explosives, other than propellent powders	2	 	008	012	36
2019	HS2017	36030020-  	–  Safety fuses	2	 	008	012	36
2019	HS2017	36030030-  	–  Detonating fuses	2	 	008	012	36
2019	HS2017	36030040-  	–  Percussion caps	2	 	008	012	36
2019	HS2017	36030050-  	–  Detonating caps	2	 	008	012	36
2019	HS2017	36030060-  	–  Igniters	2	 	008	012	36
2019	HS2017	36030080-  	–  Electric detonators	2	 	008	012	36
2019	HS2017	36041000-  	–  Fireworks	6	 	008	012	36
2019	HS2017	36049000-  	–  Other	6	 	008	012	36
2019	HS2017	36050000-  	Matches, other than pyrotechnic articles of heading 3604	6	 	008	012	36
2019	HS2017	36061000-  	–  Liquid or liquefied-gas fuels in containers of a kind used for filling or refilling cigarette or similar lighters and of a capacity not exceeding 300 cm3	2	 	008	012	36
2019	HS2017	36069010-  	– –  Ferro-cerium and other pyrophoric alloys in all forms	2	 	008	012	36
2019	HS2017	36069090-  	– –  Other	2	 	008	012	36
