年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	52010010-  	–  Rendered absorbent or bleached	2	 	008	012	52
2019	HS2017	52010090-  	–  Other	2	 	008	012	52
2019	HS2017	52021000-  	–  Yarn waste (including thread waste)	2	 	008	012	52
2019	HS2017	52029100-  	– –  Garnetted stock	2	 	008	012	52
2019	HS2017	52029900-  	– –  Other	2	 	008	012	52
2019	HS2017	52030000-  	Cotton, carded or combed	2	 	008	012	52
2019	HS2017	52041100-  	– –  Containing 85 % or more by weight of cotton	0	 	008	012	52
2019	HS2017	52041900-  	– –  Other	0	 	008	012	52
2019	HS2017	52042000-  	–  Put up for retail sale	0	 	008	012	52
2019	HS2017	52051100-  	– –  Measuring 714,29 decitex or more (not exceeding 14 metric number)	0	 	008	012	52
2019	HS2017	52051200-  	– –  Measuring less than 714,29 decitex but not less than 232,56 decitex (exceeding 14 metric number but not exceeding 43 metric number)	0	 	008	012	52
2019	HS2017	52051300-  	– –  Measuring less than 232,56 decitex but not less than 192,31 decitex (exceeding 43 metric number but not exceeding 52 metric number)	0	 	008	012	52
2019	HS2017	52051400-  	– –  Measuring less than 192,31 decitex but not less than 125 decitex (exceeding 52 metric number but not exceeding 80 metric number)	0	 	008	012	52
2019	HS2017	52051510-  	– – –  Measuring less than 125 decitex but not less than 83,33 decitex (exceeding 80 metric number but not exceeding 120 metric number)	0	 	008	012	52
2019	HS2017	52051590-  	– – –  Measuring less than 83,33 decitex (exceeding 120 metric number)	0	 	008	012	52
2019	HS2017	52052100-  	– –  Measuring 714,29 decitex or more (not exceeding 14 metric number)	0	 	008	012	52
2019	HS2017	52052200-  	– –  Measuring less than 714,29 decitex but not less than 232,56 decitex (exceeding 14 metric number but not exceeding 43 metric number)	0	 	008	012	52
2019	HS2017	52052300-  	– –  Measuring less than 232,56 decitex but not less than 192,31 decitex (exceeding 43 metric number but not exceeding 52 metric number)	0	 	008	012	52
2019	HS2017	52052400-  	– –  Measuring less than 192,31 decitex but not less than 125 decitex (exceeding 52 metric number but not exceeding 80 metric number)	0	 	008	012	52
2019	HS2017	52052600-  	– –  Measuring less than 125 decitex but not less than 106,38 decitex (exceeding 80 metric number but not exceeding 94 metric number)	0	 	008	012	52
