年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	65010000-  	Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt	10	 	008	012	65
2019	HS2017	65020000-  	Hat-shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed	10	 	008	012	65
2019	HS2017	65040000-  	Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed	15	 	008	012	65
2019	HS2017	65050010-  	–  Of fur felt or of felt of wool and fur, made from the hat bodies, hoods or plateaux of subheading 6501 00 00	15	 	008	012	65
2019	HS2017	65050030-  	– –  Peaked caps	15	 	008	012	65
2019	HS2017	65050090-  	– –  Other	15	 	008	012	65
2019	HS2017	65061010-  	– –  Of plastics	15	 	008	012	65
2019	HS2017	65061080-  	– –  Of other materials	15	 	008	012	65
2019	HS2017	65069100-  	– –  Of rubber or of plastics	15	 	008	012	65
2019	HS2017	65069910-  	– – –  Of fur felt or of felt of wool and fur, made from the hat bodies, hoods or plateaux of subheading 6501 00 00	15	 	008	012	65
2019	HS2017	65069990-  	– – –  Other	15	 	008	012	65
2019	HS2017	65070000-  	Headbands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear	10	 	008	012	65
