年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	28011000-  	–  Chlorine	2	 	008	012	28
2019	HS2017	28012000-  	–  Iodine	2	 	008	012	28
2019	HS2017	28013010-  	– –  Fluorine	2	 	008	012	28
2019	HS2017	28013090-  	– –  Bromine	2	 	008	012	28
2019	HS2017	28020000-  	Sulphur, sublimed or precipitated; colloidal sulphur	2	 	008	012	28
2019	HS2017	28030000-  	Carbon (carbon blacks and other forms of carbon not elsewhere specified or included)	2	 	008	012	28
2019	HS2017	28041000-  	–  Hydrogen	2	 	008	012	28
2019	HS2017	28042100-  	– –  Argon	2	 	008	012	28
2019	HS2017	28042910-  	– – –  Helium	2	 	008	012	28
2019	HS2017	28042990-  	– – –  Other	2	 	008	012	28
2019	HS2017	28043000-  	–  Nitrogen	2	 	008	012	28
2019	HS2017	28044000-  	–  Oxygen	2	 	008	012	28
2019	HS2017	28045010-  	– –  Boron	2	 	008	012	28
2019	HS2017	28045090-  	– –  Tellurium	2	 	008	012	28
2019	HS2017	28046100-  	– –  Containing by weight not less than 99,99 % of silicon	2	 	008	012	28
2019	HS2017	28046900-  	– –  Other	2	 	008	012	28
2019	HS2017	28047000-  	–  Phosphorus	2	 	008	012	28
2019	HS2017	28048000-  	–  Arsenic	2	 	008	012	28
2019	HS2017	28049000-  	–  Selenium	2	 	008	012	28
2019	HS2017	28051100-  	– –  Sodium	2	 	008	012	28
2019	HS2017	28051200-  	– –  Calcium	2	 	008	012	28
2019	HS2017	28051910-  	– – –  Strontium and barium	2	 	008	012	28
2019	HS2017	28051990-  	– – –  Other	2	 	008	012	28
2019	HS2017	28053010-  	– –  Intermixtures or interalloys (37)	2	 	008	012	28
2019	HS2017	28053020-  	– – – –  Cerium, lanthanum, praseodymium, neodymium and samarium (37)	2	 	008	012	28
2019	HS2017	28053030-  	– – – –  Europium, gadolinium, terbium, dysprosium, holmium, erbium, thulium, ytterbium, lutetium and yttrium (37)	2	 	008	012	28
2019	HS2017	28053040-  	– – – –  Scandium	2	 	008	012	28
2019	HS2017	28053080-  	– – –  Other	2	 	008	012	28
2019	HS2017	28054010-  	– –  In flasks of a net content of 34,5 kg (standard weight), of a fob value, per flask, not exceeding € 224	2	 	008	012	28
2019	HS2017	28054090-  	– –  Other	2	 	008	012	28
2019	HS2017	28061000-  	–  Hydrogen chloride (hydrochloric acid)	2	 	008	012	28
2019	HS2017	28062000-  	–  Chlorosulphuric acid	2	 	008	012	28
2019	HS2017	28070000-  	Sulphuric acid; oleum	0	 	008	012	28
2019	HS2017	28080000-  	Nitric acid; sulphonitric acids	2	 	008	012	28
2019	HS2017	28091000-  	–  Diphosphorus pentaoxide	2	 	008	012	28
2019	HS2017	28092000-  	–  Phosphoric acid and polyphosphoric acids	0	 	008	012	28
2019	HS2017	28100010-  	–  Diboron trioxide	2	 	008	012	28
2019	HS2017	28100090-  	–  Other	2	 	008	012	28
2019	HS2017	28111100-  	– –  Hydrogen fluoride (hydrofluoric acid)	2	 	008	012	28
2019	HS2017	28111200-  	– –  Hydrogen cyanide (hydrocyanic acid)	2	 	008	012	28
2019	HS2017	28111910-  	– – –  Hydrogen bromide (hydrobromic acid)	2	 	008	012	28
2019	HS2017	28111980-  	– – –  Other	2	 	008	012	28
2019	HS2017	28112100-  	– –  Carbon dioxide	2	 	008	012	28
2019	HS2017	28112200-  	– –  Silicon dioxide	2	 	008	012	28
2019	HS2017	28112905-  	– – –  Sulphur dioxide	2	 	008	012	28
2019	HS2017	28112910-  	– – –  Sulphur trioxide (sulphuric anhydride); diarsenic trioxide	2	 	008	012	28
2019	HS2017	28112930-  	– – –  Nitrogen oxides	2	 	008	012	28
2019	HS2017	28112990-  	– – –  Other	2	 	008	012	28
2019	HS2017	28121100-  	– –  Carbonyl dichloride (phosgene)	2	 	008	012	28
2019	HS2017	28121200-  	– –  Phosphorus oxychloride	2	 	008	012	28
2019	HS2017	28121300-  	– –  Phosphorus trichloride	2	 	008	012	28
2019	HS2017	28121400-  	– –  Phosphorus pentachloride	2	 	008	012	28
2019	HS2017	28121500-  	– –  Sulphur monochloride	2	 	008	012	28
2019	HS2017	28121600-  	– –  Sulphur dichloride	2	 	008	012	28
2019	HS2017	28121700-  	– –  Thionyl chloride	2	 	008	012	28
2019	HS2017	28121910-  	– – –  Of phosphorus	2	 	008	012	28
2019	HS2017	28121990-  	– – –  Other	2	 	008	012	28
2019	HS2017	28129000-  	–  Other	2	 	008	012	28
2019	HS2017	28131000-  	–  Carbon disulphide	2	 	008	012	28
2019	HS2017	28139010-  	– –  Phosphorus sulphides, commercial phosphorus trisulphide	2	 	008	012	28
2019	HS2017	28139090-  	– –  Other	2	 	008	012	28
2019	HS2017	28141000-  	–  Anhydrous ammonia	2	 	008	012	28
2019	HS2017	28142000-  	–  Ammonia in aqueous solution	2	 	008	012	28
2019	HS2017	28151100-  	– –  Solid	0	 	008	012	28
2019	HS2017	28151200-  	– –  In aqueous solution (soda lye or liquid soda)	0	 	008	012	28
2019	HS2017	28152000-  	–  Potassium hydroxide (caustic potash)	2	 	008	012	28
2019	HS2017	28153000-  	–  Peroxides of sodium or potassium	2	 	008	012	28
2019	HS2017	28161000-  	–  Hydroxide and peroxide of magnesium	2	 	008	012	28
2019	HS2017	28164000-  	–  Oxides, hydroxides and peroxides, of strontium or barium	2	 	008	012	28
2019	HS2017	28170000-  	Zinc oxide; zinc peroxide	2	 	008	012	28
2019	HS2017	28181011-  	– – –  With less than 50 % of the total weight having a particle size of more than 10 mm	2	 	008	012	28
2019	HS2017	28181019-  	– – –  With 50 % or more of the total weight having a particle size of more than 10 mm	2	 	008	012	28
2019	HS2017	28181091-  	– – –  With less than 50 % of the total weight having a particle size of more than 10 mm	2	 	008	012	28
2019	HS2017	28181099-  	– – –  With 50 % or more of the total weight having a particle size of more than 10 mm	2	 	008	012	28
2019	HS2017	28182000-  	–  Aluminium oxide, other than artificial corundum	2	 	008	012	28
2019	HS2017	28183000-  	–  Aluminium hydroxide	0	 	008	012	28
2019	HS2017	28191000-  	–  Chromium trioxide	2	 	008	012	28
2019	HS2017	28199010-  	– –  Chromium dioxide	2	 	008	012	28
2019	HS2017	28199090-  	– –  Other	2	 	008	012	28
2019	HS2017	28201000-  	–  Manganese dioxide	2	 	008	012	28
2019	HS2017	28209010-  	– –  Manganese oxide containing by weight 77 % or more of manganese	2	 	008	012	28
2019	HS2017	28209090-  	– –  Other	2	 	008	012	28
2019	HS2017	28211000-  	–  Iron oxides and hydroxides	2	 	008	012	28
2019	HS2017	28212000-  	–  Earth colours	2	 	008	012	28
2019	HS2017	28220000-  	Cobalt oxides and hydroxides; commercial cobalt oxides	2	 	008	012	28
2019	HS2017	28230000-  	Titanium oxides	2	 	008	012	28
2019	HS2017	28241000-  	–  Lead monoxide (litharge, massicot)	2	 	008	012	28
2019	HS2017	28249000-  	–  Other	2	 	008	012	28
2019	HS2017	28251000-  	–  Hydrazine and hydroxylamine and their inorganic salts	2	 	008	012	28
2019	HS2017	28252000-  	–  Lithium oxide and hydroxide	2	 	008	012	28
2019	HS2017	28253000-  	–  Vanadium oxides and hydroxides	2	 	008	012	28
2019	HS2017	28254000-  	–  Nickel oxides and hydroxides	2	 	008	012	28
2019	HS2017	28255000-  	–  Copper oxides and hydroxides	2	 	008	012	28
2019	HS2017	28256000-  	–  Germanium oxides and zirconium dioxide	2	 	008	012	28
2019	HS2017	28257000-  	–  Molybdenum oxides and hydroxides	2	 	008	012	28
2019	HS2017	28258000-  	–  Antimony oxides	2	 	008	012	28
2019	HS2017	28259011-  	– – –  Calcium hydroxide of a purity of 98 % or more calculated on the dry weight, in the form of particles of which: Not provided	2	 	008	012	28
2019	HS2017	28259019-  	– – –  Other	2	 	008	012	28
2019	HS2017	28259020-  	– –  Beryllium oxide and hydroxide	2	 	008	012	28
2019	HS2017	28259040-  	– –  Tungsten oxides and hydroxides	2	 	008	012	28
2019	HS2017	28259060-  	– –  Cadmium oxide	2	 	008	012	28
2019	HS2017	28259085-  	– –  Other	2	 	008	012	28
2019	HS2017	28261200-  	– –  Of aluminium	2	 	008	012	28
2019	HS2017	28261910-  	– – –  Of ammonium or of sodium	2	 	008	012	28
2019	HS2017	28261990-  	– – –  Other	2	 	008	012	28
2019	HS2017	28263000-  	–  Sodium hexafluoroaluminate (synthetic cryolite)	2	 	008	012	28
2019	HS2017	28269010-  	– –  Dipotassium hexafluorozirconate	2	 	008	012	28
2019	HS2017	28269080-  	– –  Other	0	 	008	012	28
2019	HS2017	28271000-  	–  Ammonium chloride	2	 	008	012	28
2019	HS2017	28272000-  	–  Calcium chloride	2	 	008	012	28
2019	HS2017	28273100-  	– –  Of magnesium	2	 	008	012	28
2019	HS2017	28273200-  	– –  Of aluminium	2	 	008	012	28
2019	HS2017	28273500-  	– –  Of nickel	2	 	008	012	28
2019	HS2017	28273910-  	– – –  Of tin	2	 	008	012	28
2019	HS2017	28273920-  	– – –  Of iron	2	 	008	012	28
2019	HS2017	28273930-  	– – –  Of cobalt	2	 	008	012	28
2019	HS2017	28273985-  	– – –  Other	2	 	008	012	28
2019	HS2017	28274100-  	– –  Of copper	2	 	008	012	28
2019	HS2017	28274910-  	– – –  Of lead	2	 	008	012	28
2019	HS2017	28274990-  	– – –  Other	2	 	008	012	28
2019	HS2017	28275100-  	– –  Bromides of sodium or of potassium	2	 	008	012	28
2019	HS2017	28275900-  	– –  Other	2	 	008	012	28
2019	HS2017	28276000-  	–  Iodides and iodide oxides	2	 	008	012	28
2019	HS2017	28281000-  	–  Commercial calcium hypochlorite and other calcium hypochlorites	2	 	008	012	28
2019	HS2017	28289000-  	–  Other	0	 	008	012	28
2019	HS2017	28291100-  	– –  Of sodium	2	 	008	012	28
2019	HS2017	28291900-  	– –  Other	2	 	008	012	28
2019	HS2017	28299010-  	– –  Perchlorates	2	 	008	012	28
2019	HS2017	28299040-  	– –  Bromates of potassium or of sodium	2	 	008	012	28
2019	HS2017	28299080-  	– –  Other	2	 	008	012	28
2019	HS2017	28301000-  	–  Sodium sulphides	2	 	008	012	28
2019	HS2017	28309011-  	– –  Sulphides of calcium, of antimony or of iron	2	 	008	012	28
2019	HS2017	28309085-  	– –  Other	2	 	008	012	28
2019	HS2017	28311000-  	–  Of sodium	2	 	008	012	28
2019	HS2017	28319000-  	–  Other	2	 	008	012	28
2019	HS2017	28321000-  	–  Sodium sulphites	2	 	008	012	28
2019	HS2017	28322000-  	–  Other sulphites	2	 	008	012	28
2019	HS2017	28323000-  	–  Thiosulphates	2	 	008	012	28
2019	HS2017	28331100-  	– –  Disodium sulphate	2	 	008	012	28
2019	HS2017	28331900-  	– –  Other	2	 	008	012	28
2019	HS2017	28332100-  	– –  Of magnesium	0	 	008	012	28
2019	HS2017	28332200-  	– –  Of aluminium	0	 	008	012	28
2019	HS2017	28332400-  	– –  Of nickel	2	 	008	012	28
2019	HS2017	28332500-  	– –  Of copper	2	 	008	012	28
2019	HS2017	28332700-  	– –  Of barium	2	 	008	012	28
2019	HS2017	28332920-  	– – –  Of cadmium; of chromium; of zinc	0	 	008	012	28
2019	HS2017	28332930-  	– – –  Of cobalt; of titanium	2	 	008	012	28
2019	HS2017	28332960-  	– – –  Of lead	2	 	008	012	28
2019	HS2017	28332980-  	– – –  Other	2	 	008	012	28
2019	HS2017	28333000-  	–  Alums	2	 	008	012	28
2019	HS2017	28334000-  	–  Peroxosulphates (persulphates)	2	 	008	012	28
2019	HS2017	28341000-  	–  Nitrites	2	 	008	012	28
2019	HS2017	28342100-  	– –  Of potassium	2	 	008	012	28
2019	HS2017	28342920-  	– – –  Of barium; of beryllium; of cadmium; of cobalt; of nickel; of lead	2	 	008	012	28
2019	HS2017	28342940-  	– – –  Of copper	2	 	008	012	28
2019	HS2017	28342980-  	– – –  Other	2	 	008	012	28
2019	HS2017	28351000-  	–  Phosphinates (hypophosphites) and phosphonates (phosphites)	2	 	008	012	28
2019	HS2017	28352200-  	– –  Of mono- or disodium	2	 	008	012	28
2019	HS2017	28352400-  	– –  Of potassium	2	 	008	012	28
