年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	24011035-  	– –  Light air-cured tobacco	2	 	008	012	24
2019	HS2017	24011060-  	– –  Sun-cured Oriental type tobacco	15	 	008	012	24
2019	HS2017	24011070-  	– –  Dark air-cured tobacco	2	 	008	012	24
2019	HS2017	24011085-  	– –  Flue-cured tobacco	2	 	008	012	24
2019	HS2017	24011095-  	– –  Other	2	 	008	012	24
2019	HS2017	24012035-  	– –  Light air-cured tobacco	2	 	008	012	24
2019	HS2017	24012060-  	– –  Sun-cured Oriental type tobacco	15	 	008	012	24
2019	HS2017	24012070-  	– –  Dark air-cured tobacco	2	 	008	012	24
2019	HS2017	24012085-  	– –  Flue-cured tobacco	2	 	008	012	24
2019	HS2017	24012095-  	– –  Other	2	 	008	012	24
2019	HS2017	24013000-  	–  Tobacco refuse	2	 	008	012	24
2019	HS2017	24021000-  	–  Cigars, cheroots and cigarillos, containing tobacco	10	 	008	012	24
2019	HS2017	24022010-  	– –  Containing cloves	10	 	008	012	24
2019	HS2017	24022090-  	– –  Other	10	 	008	012	24
2019	HS2017	24029000-  	–  Other	10	 	008	012	24
2019	HS2017	24031100-  	– –  Water-pipe tobacco specified in subheading note 1 to this chapter	2	 	008	012	24
2019	HS2017	24031910-  	– – –  In immediate packings of a net content not exceeding 500 g	15	 	008	012	24
2019	HS2017	24031990-  	– – –  Other	2	 	008	012	24
2019	HS2017	24039100-  	– –  ‘Homogenised’ or ‘reconstituted’ tobacco	10	 	008	012	24
2019	HS2017	24039910-  	– – –  Chewing tobacco and snuff	15	 	008	012	24
2019	HS2017	24039990-  	– – –  Other	15	 	008	012	24
