年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	70010010-  	–  Cullet and other waste and scrap of glass	15	 	008	012	70
2019	HS2017	70010091-  	– –  Optical glass	15	 	008	012	70
2019	HS2017	70010099-  	– –  Other	15	 	008	012	70
2019	HS2017	70021000-  	–  Balls	15	 	008	012	70
2019	HS2017	70022010-  	– –  Of optical glass	15	 	008	012	70
2019	HS2017	70022090-  	– –  Other	15	 	008	012	70
2019	HS2017	70023100-  	– –  Of fused quartz or other fused silica	15	 	008	012	70
2019	HS2017	70023200-  	– –  Of other glass having a linear coefficient of expansion not exceeding 5 × 10–6 per Kelvin within a temperature range of 0 °C to 300 °C	15	 	008	012	70
2019	HS2017	70023900-  	– –  Other	15	 	008	012	70
2019	HS2017	70031210-  	– – –  Of optical glass	2	 	008	012	70
2019	HS2017	70031291-  	– – – –  Having a non-reflecting layer	2	 	008	012	70
2019	HS2017	70031299-  	– – – –  Other	2	 	008	012	70
2019	HS2017	70031910-  	– – –  Of optical glass	2	 	008	012	70
2019	HS2017	70031990-  	– – –  Other	2	 	008	012	70
2019	HS2017	70032000-  	–  Wired sheets	2	 	008	012	70
2019	HS2017	70033000-  	–  Profiles	2	 	008	012	70
2019	HS2017	70042010-  	– –  Optical glass	2	 	008	012	70
2019	HS2017	70042091-  	– – –  Having a non-reflecting layer	2	 	008	012	70
2019	HS2017	70042099-  	– – –  Other	2	 	008	012	70
2019	HS2017	70049010-  	– –  Optical glass	2	 	008	012	70
2019	HS2017	70049080-  	– –  Other	2	 	008	012	70
2019	HS2017	70051005-  	– –  Having a non-reflecting layer	2	 	008	012	70
2019	HS2017	70051025-  	– – –  Not exceeding 3,5 mm	2	 	008	012	70
2019	HS2017	70051030-  	– – –  Exceeding 3,5 mm but not exceeding 4,5 mm	2	 	008	012	70
2019	HS2017	70051080-  	– – –  Exceeding 4,5 mm	2	 	008	012	70
2019	HS2017	70052125-  	– – –  Of a thickness not exceeding 3,5 mm	2	 	008	012	70
2019	HS2017	70052130-  	– – –  Of a thickness exceeding 3,5 mm but not exceeding 4,5 mm	2	 	008	012	70
2019	HS2017	70052180-  	– – –  Of a thickness exceeding 4,5 mm	2	 	008	012	70
2019	HS2017	70052925-  	– – –  Of a thickness not exceeding 3,5 mm	2	 	008	012	70
2019	HS2017	70052935-  	– – –  Of a thickness exceeding 3,5 mm but not exceeding 4,5 mm	2	 	008	012	70
2019	HS2017	70052980-  	– – –  Of a thickness exceeding 4,5 mm	2	 	008	012	70
2019	HS2017	70053000-  	–  Wired glass	2	 	008	012	70
2019	HS2017	70060010-  	–  Optical glass	2	 	008	012	70
2019	HS2017	70060090-  	–  Other	2	 	008	012	70
2019	HS2017	70071110-  	– – –  Of size and shape suitable for incorporation in motor vehicles	2	 	008	012	70
2019	HS2017	70071190-  	– – –  Other	2	 	008	012	70
2019	HS2017	70071910-  	– – –  Enamelled	2	 	008	012	70
2019	HS2017	70071920-  	– – –  Coloured throughout the mass (body tinted), opacified, flashed or having an absorbent or reflecting layer	2	 	008	012	70
2019	HS2017	70071980-  	– – –  Other	2	 	008	012	70
2019	HS2017	70072120-  	– – –  Of size and shape suitable for incorporation in motor vehicles	2	 	008	012	70
2019	HS2017	70072180-  	– – –  Other	2	 	008	012	70
2019	HS2017	70072900-  	– –  Other	2	 	008	012	70
2019	HS2017	70080020-  	–  Coloured throughout the mass (body tinted), opacified, flashed or having an absorbent or reflecting layer	2	 	008	012	70
2019	HS2017	70080081-  	– –  Consisting of two panels of glass sealed around the edges by an airtight joint and separated by a layer of air, other gases or a vacuum	2	 	008	012	70
2019	HS2017	70080089-  	– –  Other	2	 	008	012	70
2019	HS2017	70091000-  	–  Rear-view mirrors for vehicles	15	 	008	012	70
2019	HS2017	70099100-  	– –  Unframed	15	 	008	012	70
2019	HS2017	70099200-  	– –  Framed	15	 	008	012	70
2019	HS2017	70101000-  	–  Ampoules	5	 	008	012	70
2019	HS2017	70102000-  	–  Stoppers, lids and other closures	10	 	008	012	70
2019	HS2017	70109010-  	– –  Preserving jars (sterilising jars)	2	 	008	012	70
2019	HS2017	70109021-  	– – –  Made from tubing of glass	2	 	008	012	70
2019	HS2017	70109031-  	– – – –  2,5 l or more	2	 	008	012	70
2019	HS2017	70109041-  	– – – – – – – –  1 l or more	2	 	008	012	70
2019	HS2017	70109043-  	– – – – – – – –  More than 0,33 l but less than 1 l	2	 	008	012	70
