年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	08011100-  	– –  Desiccated	10	 	008	012	08
2019	HS2017	08011200-  	– –  In the inner shell (endocarp)	10	 	008	012	08
2019	HS2017	08011900-  	– –  Other	10	 	008	012	08
2019	HS2017	08012100-  	– –  In shell	10	 	008	012	08
2019	HS2017	08012200-  	– –  Shelled	10	 	008	012	08
2019	HS2017	08013100-  	– –  In shell	10	 	008	012	08
2019	HS2017	08013200-  	– –  Shelled	10	 	008	012	08
2019	HS2017	08021110-  	– – –  Bitter	10	 	008	012	08
2019	HS2017	08021190-  	– – –  Other	10	 	008	012	08
2019	HS2017	08021210-  	– – –  Bitter	10	 	008	012	08
2019	HS2017	08021290-  	– – –  Other	10	 	008	012	08
2019	HS2017	08022100-  	– –  In shell	10	 	008	012	08
2019	HS2017	08022200-  	– –  Shelled	10	 	008	012	08
2019	HS2017	08023100-  	– –  In shell	10	 	008	012	08
2019	HS2017	08023200-  	– –  Shelled	10	 	008	012	08
2019	HS2017	08024100-  	– –  In shell	10	 	008	012	08
2019	HS2017	08024200-  	– –  Shelled	10	 	008	012	08
2019	HS2017	08025100-  	– –  In shell	10	 	008	012	08
2019	HS2017	08025200-  	– –  Shelled	10	 	008	012	08
2019	HS2017	08026100-  	– –  In shell	10	 	008	012	08
2019	HS2017	08026200-  	– –  Shelled	10	 	008	012	08
2019	HS2017	08027000-  	–  Kola nuts (Cola spp.)	10	 	008	012	08
2019	HS2017	08028000-  	–  Areca nuts	10	 	008	012	08
2019	HS2017	08029010-  	– –  Pecans	10	 	008	012	08
2019	HS2017	08029050-  	– –  Pine nuts (Pinus spp.)	10	 	008	012	08
2019	HS2017	08029085-  	– –  Other	10	 	008	012	08
2019	HS2017	08031010-  	– –  Fresh	10	 	008	012	08
2019	HS2017	08031090-  	– –  Dried	10	 	008	012	08
2019	HS2017	08039010-  	– –  Fresh	10	 	008	012	08
2019	HS2017	08039090-  	– –  Dried	10	 	008	012	08
2019	HS2017	08041000-  	–  Dates	10	 	008	012	08
2019	HS2017	08042010-  	– –  Fresh	10	 	008	012	08
2019	HS2017	08042090-  	– –  Dried	10	 	008	012	08
2019	HS2017	08043000-  	–  Pineapples	10	 	008	012	08
2019	HS2017	08044000-  	–  Avocados	10	 	008	012	08
2019	HS2017	08045000-  	–  Guavas, mangoes and mangosteens	10	 	008	012	08
2019	HS2017	08051022-  	– – –  Navel oranges	10	 	008	012	08
2019	HS2017	08051024-  	– – –  White oranges	10	 	008	012	08
2019	HS2017	08051028-  	– – –  Other	10	 	008	012	08
2019	HS2017	08051080-  	– –  Other	10	 	008	012	08
2019	HS2017	08052110-  	– – –  Satsumas	10	 	008	012	08
2019	HS2017	08052190-  	– – –  Other	10	 	008	012	08
2019	HS2017	08052200-  	– –  Clementines	10	 	008	012	08
2019	HS2017	08052900-  	– –  Other	10	 	008	012	08
2019	HS2017	08054000-  	–  Grapefruit, including pomelos	10	 	008	012	08
2019	HS2017	08055010-  	– –  Lemons (Citrus limon, Citrus limonum)	10	 	008	012	08
2019	HS2017	08055090-  	– –  Limes (Citrus aurantifolia, Citrus latifolia)	10	 	008	012	08
2019	HS2017	08059000-  	–  Other	10	 	008	012	08
2019	HS2017	08061010-  	– –  Table grapes	15	 	008	012	08
2019	HS2017	08061090-00	– –  Other	8.33333333333333	 	008	012	08
2019	HS2017	08061090-01	– –  From 01/01 to 14/07	10	 	008	012	08
2019	HS2017	08061090-02	– –  From 15/07 to 31/10	5	 	008	012	08
2019	HS2017	08061090-03	– –  From 01/11 to 31/12	10	 	008	012	08
2019	HS2017	08062010-  	– –  Currants	10	 	008	012	08
2019	HS2017	08062030-  	– –  Sultanas	10	 	008	012	08
2019	HS2017	08062090-  	– –  Other	10	 	008	012	08
2019	HS2017	08071100-  	– –  Watermelons	10	 	008	012	08
2019	HS2017	08071900-  	– –  Other	10	 	008	012	08
2019	HS2017	08072000-  	–  Papaws (papayas)	10	 	008	012	08
2019	HS2017	08081010-  	– –  Cider apples, in bulk, from 16 September to 15 December	10	 	008	012	08
2019	HS2017	08081080-  	– –  Other	10	 	008	012	08
2019	HS2017	08083010-  	– –  Perry pears, in bulk, from 1 August to 31 December	10	 	008	012	08
2019	HS2017	08083090-  	– –  Other	10	 	008	012	08
2019	HS2017	08084000-  	–  Quinces	10	 	008	012	08
2019	HS2017	08091000-  	–  Apricots	10	 	008	012	08
2019	HS2017	08092100-  	– –  Sour cherries (Prunus cerasus)	10	 	008	012	08
2019	HS2017	08092900-  	– –  Other	10	 	008	012	08
2019	HS2017	08093010-  	– –  Nectarines	10	 	008	012	08
2019	HS2017	08093090-  	– –  Other	10	 	008	012	08
2019	HS2017	08094005-  	– –  Plums	10	 	008	012	08
2019	HS2017	08094090-  	– –  Sloes	10	 	008	012	08
2019	HS2017	08101000-  	–  Strawberries	10	 	008	012	08
2019	HS2017	08102010-  	– –  Raspberries	10	 	008	012	08
2019	HS2017	08102090-  	– –  Other	10	 	008	012	08
2019	HS2017	08103010-  	– –  Blackcurrants	10	 	008	012	08
2019	HS2017	08103030-  	– –  Redcurrants	10	 	008	012	08
2019	HS2017	08103090-  	– –  Other	10	 	008	012	08
2019	HS2017	08104010-  	– –  Cowberries, foxberries or mountain cranberries (fruit of the species Vaccinium vitis-idaea)	10	 	008	012	08
2019	HS2017	08104030-  	– –  Fruit of the species Vaccinium myrtillus	10	 	008	012	08
2019	HS2017	08104050-  	– –  Fruit of the species Vaccinium macrocarpon and Vaccinium corymbosum	10	 	008	012	08
2019	HS2017	08104090-  	– –  Other	10	 	008	012	08
2019	HS2017	08105000-  	–  Kiwifruit	10	 	008	012	08
2019	HS2017	08106000-  	–  Durians	10	 	008	012	08
2019	HS2017	08107000-  	–  Persimmons	10	 	008	012	08
2019	HS2017	08109020-  	– –  Tamarinds, cashew apples, lychees, jackfruit, sapodilla plums, passion fruit, carambola and pitahaya	10	 	008	012	08
2019	HS2017	08109075-  	– –  Other	10	 	008	012	08
2019	HS2017	08111011-  	– – –  With a sugar content exceeding 13 % by weight	10	 	008	012	08
2019	HS2017	08111019-  	– – –  Other	10	 	008	012	08
2019	HS2017	08111090-  	– –  Other	10	 	008	012	08
2019	HS2017	08112011-  	– – –  With a sugar content exceeding 13 % by weight	10	 	008	012	08
2019	HS2017	08112019-  	– – –  Other	10	 	008	012	08
2019	HS2017	08112031-  	– – –  Raspberries	10	 	008	012	08
2019	HS2017	08112039-  	– – –  Blackcurrants	10	 	008	012	08
2019	HS2017	08112051-  	– – –  Redcurrants	10	 	008	012	08
2019	HS2017	08112059-  	– – –  Blackberries and mulberries	10	 	008	012	08
2019	HS2017	08112090-  	– – –  Other	10	 	008	012	08
2019	HS2017	08119011-  	– – – –  Tropical fruit and tropical nuts	10	 	008	012	08
2019	HS2017	08119019-  	– – – –  Other	10	 	008	012	08
2019	HS2017	08119031-  	– – – –  Tropical fruit and tropical nuts	10	 	008	012	08
2019	HS2017	08119039-  	– – – –  Other	10	 	008	012	08
2019	HS2017	08119050-  	– – –  Fruit of the species Vaccinium myrtillus	10	 	008	012	08
2019	HS2017	08119070-  	– – –  Fruit of the species Vaccinium myrtilloides and Vaccinium angustifolium	10	 	008	012	08
2019	HS2017	08119075-  	– – – –  Sour cherries (Prunus cerasus)	10	 	008	012	08
2019	HS2017	08119080-  	– – – –  Other	10	 	008	012	08
2019	HS2017	08119085-  	– – –  Tropical fruit and tropical nuts	10	 	008	012	08
2019	HS2017	08119095-  	– – –  Other	10	 	008	012	08
2019	HS2017	08121000-  	–  Cherries	10	 	008	012	08
2019	HS2017	08129025-  	– –  Apricots; oranges	10	 	008	012	08
2019	HS2017	08129030-  	– –  Papaws (papayas)	10	 	008	012	08
2019	HS2017	08129040-  	– –  Fruit of the species Vaccinium myrtillus	10	 	008	012	08
2019	HS2017	08129070-  	– –  Guavas, mangoes, mangosteens, tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola, pitahaya and tropical nuts	10	 	008	012	08
2019	HS2017	08129098-  	– –  Other	10	 	008	012	08
2019	HS2017	08131000-  	–  Apricots	10	 	008	012	08
2019	HS2017	08132000-  	–  Prunes	10	 	008	012	08
2019	HS2017	08133000-  	–  Apples	10	 	008	012	08
2019	HS2017	08134010-  	– –  Peaches, including nectarines	10	 	008	012	08
2019	HS2017	08134030-  	– –  Pears	10	 	008	012	08
2019	HS2017	08134050-  	– –  Papaws (papayas)	10	 	008	012	08
2019	HS2017	08134065-  	– –  Tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya	10	 	008	012	08
2019	HS2017	08134095-  	– –  Other	10	 	008	012	08
2019	HS2017	08135012-  	– – – –  Of papaws (papayas), tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya	10	 	008	012	08
2019	HS2017	08135015-  	– – – –  Other	10	 	008	012	08
2019	HS2017	08135019-  	– – –  Containing prunes	10	 	008	012	08
2019	HS2017	08135031-  	– – –  Of tropical nuts	10	 	008	012	08
2019	HS2017	08135039-  	– – –  Other	10	 	008	012	08
2019	HS2017	08135091-  	– – –  Not containing prunes or figs	10	 	008	012	08
2019	HS2017	08135099-  	– – –  Other	10	 	008	012	08
2019	HS2017	08140000-  	Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions	10	 	008	012	08
