年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	01012100-  	– –  Pure-bred breeding animals (11)	2	 	008	012	01
2019	HS2017	01012910-  	– – –  For slaughter (12)	10	 	008	012	01
2019	HS2017	01012990-  	– – –  Other	10	 	008	012	01
2019	HS2017	01013000-  	–  Asses	10	 	008	012	01
2019	HS2017	01019000-  	–  Other	10	 	008	012	01
2019	HS2017	01022110-  	– – –  Heifers (female bovines that have never calved)	2	 	008	012	01
2019	HS2017	01022130-  	– – –  Cows	2	 	008	012	01
2019	HS2017	01022190-  	– – –  Other	2	 	008	012	01
2019	HS2017	01022905-  	– – –  Of the sub-genus Bibos or of the sub-genus Poephagus	10	 	008	012	01
2019	HS2017	01022910-  	– – – –  Of a weight not exceeding 80 kg	10	 	008	012	01
2019	HS2017	01022921-  	– – – – –  For slaughter	10	 	008	012	01
2019	HS2017	01022929-  	– – – – –  Other	0	 	008	012	01
2019	HS2017	01022941-  	– – – – –  For slaughter	10	 	008	012	01
2019	HS2017	01022949-  	– – – – –  Other	10	 	008	012	01
2019	HS2017	01022951-  	– – – – – –  For slaughter	10	 	008	012	01
2019	HS2017	01022959-  	– – – – – –  Other	10	 	008	012	01
2019	HS2017	01022961-  	– – – – – –  For slaughter	10	 	008	012	01
2019	HS2017	01022969-  	– – – – – –  Other	10	 	008	012	01
2019	HS2017	01022991-  	– – – – – –  For slaughter	10	 	008	012	01
2019	HS2017	01022999-  	– – – – – –  Other	10	 	008	012	01
2019	HS2017	01023100-  	– –  Pure-bred breeding animals (13)	2	 	008	012	01
2019	HS2017	01023910-  	– – –  Domestic species	10	 	008	012	01
2019	HS2017	01023990-  	– – –  Other	10	 	008	012	01
2019	HS2017	01029020-  	– –  Pure-bred breeding animals (13)	2	 	008	012	01
2019	HS2017	01029091-  	– – –  Domestic species	10	 	008	012	01
2019	HS2017	01029099-  	– – –  Other	10	 	008	012	01
2019	HS2017	01031000-  	–  Pure-bred breeding animals (14)	2	 	008	012	01
2019	HS2017	01039110-  	– – –  Domestic species	2	 	008	012	01
2019	HS2017	01039190-  	– – –  Other	2	 	008	012	01
2019	HS2017	01039211-  	– – – –  Sows having farrowed at least once, of a weight of not less than 160 kg	2	 	008	012	01
2019	HS2017	01039219-  	– – – –  Other	2	 	008	012	01
2019	HS2017	01039290-  	– – –  Other	2	 	008	012	01
2019	HS2017	01041010-  	– –  Pure-bred breeding animals (15)	2	 	008	012	01
2019	HS2017	01041030-  	– – –  Lambs (up to a year old)	2	 	008	012	01
2019	HS2017	01041080-  	– – –  Other	2	 	008	012	01
2019	HS2017	01042010-  	– –  Pure-bred breeding animals (15)	2	 	008	012	01
2019	HS2017	01042090-  	– –  Other	2	 	008	012	01
2019	HS2017	01051111-  	– – – –  Laying stocks	0	 	008	012	01
2019	HS2017	01051119-  	– – – –  Other	0	 	008	012	01
2019	HS2017	01051191-  	– – – –  Laying stocks	2	 	008	012	01
2019	HS2017	01051199-  	– – – –  Other	2	 	008	012	01
2019	HS2017	01051200-  	– –  Turkeys	0	 	008	012	01
2019	HS2017	01051300-  	– –  Ducks	0	 	008	012	01
2019	HS2017	01051400-  	– –  Geese	0	 	008	012	01
2019	HS2017	01051500-  	– –  Guinea fowls	0	 	008	012	01
2019	HS2017	01059400-  	– –  Fowls of the species Gallus domesticus	2	 	008	012	01
2019	HS2017	01059910-  	– – –  Ducks	15	 	008	012	01
2019	HS2017	01059920-  	– – –  Geese	15	 	008	012	01
2019	HS2017	01059930-  	– – –  Turkeys	15	 	008	012	01
2019	HS2017	01059950-  	– – –  Guinea fowls	15	 	008	012	01
2019	HS2017	01061100-  	– –  Primates	2	 	008	012	01
2019	HS2017	01061200-  	– –  Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)	2	 	008	012	01
2019	HS2017	01061300-  	– –  Camels and other camelids (Camelidae)	2	 	008	012	01
2019	HS2017	01061410-  	– – –  Domestic rabbits	2	 	008	012	01
2019	HS2017	01061490-  	– – –  Other	2	 	008	012	01
2019	HS2017	01061900-  	– –  Other	2	 	008	012	01
2019	HS2017	01062000-  	–  Reptiles (including snakes and turtles)	2	 	008	012	01
2019	HS2017	01063100-  	– –  Birds of prey	2	 	008	012	01
2019	HS2017	01063200-  	– –  Psittaciformes (including parrots, parakeets, macaws and cockatoos)	2	 	008	012	01
2019	HS2017	01063300-  	– –  Ostriches; emus (Dromaius novaehollandiae)	2	 	008	012	01
2019	HS2017	01063910-  	– – –  Pigeons	2	 	008	012	01
2019	HS2017	01063980-  	– – –  Other	2	 	008	012	01
2019	HS2017	01064100-  	– –  Bees	2	 	008	012	01
2019	HS2017	01064900-  	– –  Other	2	 	008	012	01
2019	HS2017	01069000-  	–  Other	2	 	008	012	01
