年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2018	HS2017	1201100000-  	- Seed	0	 	051	008	12
2018	HS2017	1201900000-  	- Other	0	 	051	008	12
2018	HS2017	1202300000-  	- Seed	0	 	051	008	12
2018	HS2017	1202410000-  	- - In shell	0	 	051	008	12
2018	HS2017	1202420000-  	- - Shelled, whether or not broken	0	 	051	008	12
2018	HS2017	1203000000-  	Copra	5	 	051	008	12
2018	HS2017	1204001001-  	- - Of linen flax	5	 	051	008	12
2018	HS2017	1204001009-  	- - Of common flax	5	 	051	008	12
2018	HS2017	1204009000-  	- Other	5	 	051	008	12
2018	HS2017	1205101000-  	- - For sowing	0	 	051	008	12
2018	HS2017	1205109000-  	- - Other	0	 	051	008	12
2018	HS2017	1205900001-  	- - For sowing	0	 	051	008	12
2018	HS2017	1205900009-  	- - Other	0	 	051	008	12
2018	HS2017	1206001000-  	- For sowing	2.5	 	051	008	12
2018	HS2017	1206009100-  	- - Shelled; in grey-and-white-striped shell	5	 	051	008	12
2018	HS2017	1206009900-  	- - Other	5	 	051	008	12
2018	HS2017	1207100000-  	- Palm nuts and kernels	5	 	051	008	12
2018	HS2017	1207210000-  	- - Seed	5	 	051	008	12
2018	HS2017	1207290000-  	- - Other	5	 	051	008	12
2018	HS2017	1207300000-  	- ?astor oil seeds	5	 	051	008	12
2018	HS2017	1207401000-  	- - Seed	0	 	051	008	12
2018	HS2017	1207409000-  	- - Other	0	 	051	008	12
2018	HS2017	1207501000-  	- - Seed	5	 	051	008	12
2018	HS2017	1207509000-  	- - Other	5	 	051	008	12
2018	HS2017	1207600000-  	- Safflower (Carthamus tinctorius) seeds	5	 	051	008	12
2018	HS2017	1207700000-  	- Melon seeds	5	 	051	008	12
2018	HS2017	1207911000-  	- - - Seed	5	 	051	008	12
2018	HS2017	1207919000-  	- - - Other	5	 	051	008	12
2018	HS2017	1207992000-  	- - - Seed	5	 	051	008	12
2018	HS2017	1207999100-  	- - - - Hemp seeds	5	 	051	008	12
2018	HS2017	1207999600-  	- - - - Other	5	 	051	008	12
2018	HS2017	1208100000-  	- Of soya beans	2.5	 	051	008	12
2018	HS2017	1208900000-  	- Other	2.5	 	051	008	12
2018	HS2017	1209100000-  	- Sugar beet seeds	0	 	051	008	12
2018	HS2017	1209210000-  	- - Lucerne seeds	5	 	051	008	12
2018	HS2017	1209221000-  	- - - Red clover (Trifolium pratense L.)	5	 	051	008	12
2018	HS2017	1209228000-  	- - - Other	5	 	051	008	12
2018	HS2017	1209231100-  	- - - Meadow fescue (Festuca pratensis Huds.) seeds	5	 	051	008	12
2018	HS2017	1209231500-  	- - - Red fescue (Festuca rubra L.) seeds	5	 	051	008	12
2018	HS2017	1209238000-  	- - - Other	5	 	051	008	12
2018	HS2017	1209240000-  	- - Kentucky blue grass (Poa pratensis L.) seeds	5	 	051	008	12
2018	HS2017	1209251000-  	- - - Italian ryegrass (including westerwolds) (Lolium multiflorum Lam.)	5	 	051	008	12
2018	HS2017	1209259000-  	- - - Perennial ryegrass (Lolium perenne L.)	5	 	051	008	12
2018	HS2017	1209294500-  	- - - Timothy grass seed; vetch seed; seeds of the genus Poa (Poa palustris L., Poa trivialis L.); cocksfoot grass (Dactylis glomerata L.); bent grass (Agrostis)	5	 	051	008	12
2018	HS2017	1209295000-  	- - - Lupine seeds	5	 	051	008	12
2018	HS2017	1209296000-  	- - - Fodder beet seeds (Beta vulgaris var. alba)	5	 	051	008	12
2018	HS2017	1209298000-  	- - - Other	5	 	051	008	12
2018	HS2017	1209300000-  	- Seeds of herbaceous plants cultivated principally for their flowers	5	 	051	008	12
2018	HS2017	1209913000-  	- - - Salad beet seed or beetroot seed (Beta vulgaris var. conditiva)	5	 	051	008	12
2018	HS2017	1209918000-  	- - - Other	5	 	051	008	12
2018	HS2017	1209991010-  	- - - - Caucasian fir (Abies nordmanniana (Stev.) Spach)	5	 	051	008	12
2018	HS2017	1209991090-  	- - - - Other	5	 	051	008	12
2018	HS2017	1209999100-  	- - - - Seeds of plants cultivated principally for their flowers, other than those of subheading 1209 30 000 0	5	 	051	008	12
2018	HS2017	1209999900-  	- - - - Other	5	 	051	008	12
2018	HS2017	1210100000-  	- Hop cones, neither ground nor powdered nor in the form of pellets	5	 	051	008	12
2018	HS2017	1210201000-  	- - Hop cones, ground, powdered or in the form of pellets, with higher lupulin content; lupulin	5	 	051	008	12
2018	HS2017	1210209000-  	- - Other	0	 	051	008	12
2018	HS2017	1211200000-  	- Ginseng roots	5	 	051	008	12
2018	HS2017	1211300000-  	- Coca leaf	5	 	051	008	12
2018	HS2017	1211400000-  	- Poppy straw	5	 	051	008	12
2018	HS2017	1211500000-  	- Ephedra	5	 	051	008	12
2018	HS2017	1211904000-  	- - Tonquin beans	5	 	051	008	12
2018	HS2017	1211908601-  	- - - Liquorice root	5	 	051	008	12
2018	HS2017	1211908609-  	- - - Other	5	 	051	008	12
2018	HS2017	1212210000-  	- - Fit for human consumption	3	 	051	008	12
2018	HS2017	1212290000-  	- - Other	3	 	051	008	12
2018	HS2017	1212912000-  	- - - Dried, whether or not ground	5	 	051	008	12
2018	HS2017	1212918000-  	- - - Other	5	 	051	008	12
2018	HS2017	1212920000-  	- - Locust beans (carob)	5	 	051	008	12
2018	HS2017	1212930000-  	- - Sugar cane	5	 	051	008	12
2018	HS2017	1212940000-  	- - Chicory roots	5	 	051	008	12
2018	HS2017	1212994100-  	- - - - Not decorticated, crushed or ground	5	 	051	008	12
2018	HS2017	1212994900-  	- - - - Other	5	 	051	008	12
2018	HS2017	1212999500-  	- - - Other	5	 	051	008	12
2018	HS2017	1213000000-  	Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets	5	 	051	008	12
2018	HS2017	1214100000-  	- Lucerne (alfalfa) meal and pellets:	5	 	051	008	12
2018	HS2017	1214901000-  	- - Mangolds, swedes and other fodder roots	5	 	051	008	12
2018	HS2017	1214909000-  	- - Other	5	 	051	008	12
