年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2018	HS2017	2201101100-  	- - - Not carbonated	 	15% but not less than 0.07 euro per litre	051	008	22
2018	HS2017	2201101900-  	- - - Other	 	13% but not less than 0.061 euro per 1 litre	051	008	22
2018	HS2017	2201109000-  	- - Other	 	15% but not less than 0.07 euro per litre	051	008	22
2018	HS2017	2201900000-  	- Other	 	15% but not less than 0.07 euro per litre	051	008	22
2018	HS2017	2202100000-  	- Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured	 	8% but not less than 0.024 euro per litre	051	008	22
2018	HS2017	2202910000-  	- - Non-alcoholic beer	 	0.1 euro per litre	051	008	22
2018	HS2017	2202991100-  	- - - - Soya-based beverages with a protein content of 2.8% or more by weight	 	8% but not less than 0.03 euro per litre	051	008	22
2018	HS2017	2202991500-  	- - - - Soya-based beverages with a protein content of less than 2.8% by weight; beverages based on nuts of Chapter 8, cereals of Chapter 10 or seeds of Chapter 12	 	8% but not less than 0.03 euro per litre	051	008	22
2018	HS2017	2202991900-  	- - - - Other	 	8% but not less than 0.03 euro per litre	051	008	22
2018	HS2017	2202999100-  	- - - - Less than 0.2%	 	9% but not less than 0.042 euro per litre	051	008	22
2018	HS2017	2202999500-  	- - - - 0.2% or more but less than 2%	 	9% but not less than 0.042 euro per litre	051	008	22
2018	HS2017	2202999900-  	- - - - 2% or more	 	9% but not less than 0.042 euro per litre	051	008	22
2018	HS2017	2203000100-  	- - In bottles	 	0.07 euro per litre	051	008	22
2018	HS2017	2203000900-  	- - Other	 	0.07 euro per litre	051	008	22
2018	HS2017	2203001000-  	- In containers holding more than 10 litres	 	0.07 euro per litre	051	008	22
2018	HS2017	2204101100-  	- - - Champagne	12.5	 	051	008	22
2018	HS2017	2204109100-  	- - - Asti spumante	12.5	 	051	008	22
2018	HS2017	2204109301-  	- - - - Of an actual alcoholic strength by volume equal to or exceeding 8.5 %	12.5	 	051	008	22
2018	HS2017	2204109309-  	- - - - Other	12.5	 	051	008	22
2018	HS2017	2204109401-  	- - - Of an actual alcoholic strength by volume equal to or exceeding 8.5 %	12.5	 	051	008	22
2018	HS2017	2204109409-  	- - - Other	12.5	 	051	008	22
2018	HS2017	2204109601-  	- - - Of an actual alcoholic strength by volume equal to or exceeding 8.5 %	12.5	 	051	008	22
2018	HS2017	2204109609-  	- - - Other	12.5	 	051	008	22
2018	HS2017	2204109801-  	- - - Of an actual alcoholic strength by volume equal to or exceeding 8.5 %	12.5	 	051	008	22
2018	HS2017	2204109809-  	- - - Other	12.5	 	051	008	22
2018	HS2017	2204210600-  	- - - - With a protected designation of origin (PDO)	12.5	 	051	008	22
2018	HS2017	2204210700-  	- - - - With a protected geographical indication (PGI)	12.5	 	051	008	22
2018	HS2017	2204210800-  	- - - - Other varietal wines	12.5	 	051	008	22
2018	HS2017	2204210900-  	- - - - Other	12.5	 	051	008	22
2018	HS2017	2204211100-  	- - - - - - - - Alsace	12.5	 	051	008	22
2018	HS2017	2204211200-  	- - - - - - - - Bordeaux	12.5	 	051	008	22
2018	HS2017	2204211300-  	- - - - - - - - Bourgogne (Burgundy)	12.5	 	051	008	22
2018	HS2017	2204211700-  	- - - - - - - - Val de Loire (Loire Valley)	12.5	 	051	008	22
2018	HS2017	2204211800-  	- - - - - - - - Mosel-Saar-Ruwer	12.5	 	051	008	22
2018	HS2017	2204211900-  	- - - - - - - - Pfalz	12.5	 	051	008	22
2018	HS2017	2204212200-  	- - - - - - - - Rheinhessen	12.5	 	051	008	22
2018	HS2017	2204212300-  	- - - - - - - - Tokaj	12.5	 	051	008	22
2018	HS2017	2204212400-  	- - - - - - - - Lazio	12.5	 	051	008	22
2018	HS2017	2204212600-  	- - - - - - - - Tuscany	12.5	 	051	008	22
2018	HS2017	2204212700-  	- - - - - - - - Trentino, Alto Adige and Friuli	12.5	 	051	008	22
2018	HS2017	2204212800-  	- - - - - - - - Veneto	12.5	 	051	008	22
2018	HS2017	2204213200-  	- - - - - - - - Vinho Verde	12.5	 	051	008	22
2018	HS2017	2204213400-  	- - - - - - - - Penedés	12.5	 	051	008	22
2018	HS2017	2204213600-  	- - - - - - - - Rioja	12.5	 	051	008	22
2018	HS2017	2204213700-  	- - - - - - - - Valencia	12.5	 	051	008	22
2018	HS2017	2204213800-  	- - - - - - - - Other	12.5	 	051	008	22
