年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2018	HS2017	1801000000-  	Cocoa beans, whole or broken, raw or roasted	0	 	051	008	18
2018	HS2017	1802000000-  	Cocoa shells, husks or skins, and other cocoa waste	5	 	051	008	18
2018	HS2017	1803100000-  	- Not defatted	3	 	051	008	18
2018	HS2017	1803200000-  	- Wholly or partly defatted	5	 	051	008	18
2018	HS2017	1804000000-  	Cocoa butter, fat and oil	5	 	051	008	18
2018	HS2017	1805000000-  	Cocoa powder, not containing added sugar or other sweetening matter	5	 	051	008	18
2018	HS2017	1806101500-  	- - Containing no sucrose or containing less than 5% by weight of sucrose (including invert sugar expressed as sucrose) or isoglucose expressed as sucrose	5	 	051	008	18
2018	HS2017	1806102000-  	- - Containing 5 % or more but less than 65 % by weight of sucrose (including invert sugar expressed as sucrose) or isoglucose expressed as sucrose	 	0.2 euro per kg	051	008	18
2018	HS2017	1806103000-  	- - Containing 65% or more but less than 80% by weight of sucrose (including invert sugar expressed as sucrose) or isoglucose expressed as sucrose	 	0.2 euro per kg	051	008	18
2018	HS2017	1806109000-  	- - Containing 80% or more by weight of sucrose (including invert sugar expressed as sucrose) or isoglucose expressed as sucrose	 	0.2 euro per kg	051	008	18
2018	HS2017	1806201000-  	- - Containing 31% or more by weight of cocoa butter or containing a combined weight of 31% or more of cocoa butter and milkfat	5	 	051	008	18
2018	HS2017	1806203000-  	- - Containing a combined weight of 25% or more, but less than 31% of cocoa butter and milkfat	5	 	051	008	18
2018	HS2017	1806205000-  	- - - Containing 18% or more by weight of cocoa butter	5	 	051	008	18
2018	HS2017	1806207000-  	- - - Chocolate milk crumb	5	 	051	008	18
2018	HS2017	1806208000-  	- - - Chocolate flavour coating	5	 	051	008	18
2018	HS2017	1806209500-  	- - - Other	5	 	051	008	18
2018	HS2017	1806310000-  	- - Filled	 	0.2 euro per kg	051	008	18
2018	HS2017	1806321000-  	- - - With added cereal, fruit or nuts	 	0.2 euro per kg	051	008	18
2018	HS2017	1806329000-  	- - - Other	 	0.2 euro per kg	051	008	18
2018	HS2017	1806901100-  	- - - - Containing alcohol	 	0.28 euro per kg	051	008	18
2018	HS2017	1806901900-  	- - - - Other	 	0.28 euro per kg	051	008	18
2018	HS2017	1806903100-  	- - - - Filled	 	0.28 euro per kg	051	008	18
2018	HS2017	1806903900-  	- - - - Not filled	 	0.28 euro per kg	051	008	18
2018	HS2017	1806905001-  	- - - Lollipops, whether or not filled	 	0.28 euro per kg	051	008	18
2018	HS2017	1806905002-  	- - - Toffee, caramel and other similar sweets	 	0.28 euro per kg	051	008	18
2018	HS2017	1806905009-  	- - - Other	 	0.28 euro per kg	051	008	18
2018	HS2017	1806906000-  	- - Spreads containing cocoa	 	0.28 euro per kg	051	008	18
2018	HS2017	1806907000-  	- - Preparations containing cocoa for making beverages	 	0.28 euro per kg	051	008	18
2018	HS2017	1806909000-  	- - Other	10	 	051	008	18
