年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2018	HS2017	2401103500-  	- - Light air-cured tobacco	5	 	051	008	24
2018	HS2017	2401106000-  	- - Sun-cured Oriental type tobacco	5	 	051	008	24
2018	HS2017	2401107000-  	- - Dark air-cured tobacco	5	 	051	008	24
2018	HS2017	2401108500-  	- - Flue-cured tobacco	5	 	051	008	24
2018	HS2017	2401109500-  	- - Other	5	 	051	008	24
2018	HS2017	2401203500-  	- - Light air-cured tobacco	0	 	051	008	24
2018	HS2017	2401206000-  	- - Sun-cured Oriental type tobacco	5	 	051	008	24
2018	HS2017	2401207000-  	- - Dark air-cured tobacco	5	 	051	008	24
2018	HS2017	2401208501-  	- - - Virginia type	0	 	051	008	24
2018	HS2017	2401208509-  	- - - Other	0	 	051	008	24
2018	HS2017	2401209500-  	- - Other	0	 	051	008	24
2018	HS2017	2401300000-  	- Tobacco refuse	0	 	051	008	24
2018	HS2017	2402100000-  	- Cigars, cheroots and cigarillos, containing tobacco	 	17% but not less than 1.7 euro per 1000 pcs	051	008	24
2018	HS2017	2402201000-  	- - Containing cloves	 	2 euro per 1000 pcs	051	008	24
2018	HS2017	2402209000-  	- - Other	 	2 euro per 1000 pcs	051	008	24
2018	HS2017	2402900000-  	- Other	 	20% but not less than 2 euro per 1000 pcs	051	008	24
2018	HS2017	2403110000-  	- - Water pipe tobacco specified in subheading note 1 to this Chapter	15	 	051	008	24
2018	HS2017	2403191000-  	- - - In immediate packings of a net content not exceeding 500 g	15	 	051	008	24
2018	HS2017	2403199000-  	- - - Other	15	 	051	008	24
2018	HS2017	2403910000-  	- - “Homogenised” or “reconstituted” tobacco	10	 	051	008	24
2018	HS2017	2403991000-  	- - - Chewing tobacco and snuff	20	 	051	008	24
2018	HS2017	2403999001-  	- - - - “Extended” tobacco vein	10	 	051	008	24
2018	HS2017	2403999009-  	- - - - Other	20	 	051	008	24
