年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2018	HS2017	0101210000-  	- - Pure-bred breeding animals	0	 	051	008	01
2018	HS2017	0101291000-  	- - - For slaughter	5	 	051	008	01
2018	HS2017	0101299000-  	- - - Other	5	 	051	008	01
2018	HS2017	0101300000-  	- Asses	5	 	051	008	01
2018	HS2017	0101900000-  	- Other	5	 	051	008	01
2018	HS2017	0102211000-  	- - - Heifers (female bovines that have never calved)	0	 	051	008	01
2018	HS2017	0102213000-  	- - - Cows	0	 	051	008	01
2018	HS2017	0102219000-  	- - - Other	0	 	051	008	01
2018	HS2017	0102290500-  	- - - Of the genus Bibos or of the sub-genus Poephagus	5	 	051	008	01
2018	HS2017	0102291000-  	- - - - Of a weight not exceeding 80 kg	5	 	051	008	01
2018	HS2017	0102292100-  	- - - - - For slaughter	5	 	051	008	01
2018	HS2017	0102292900-  	- - - - - Other	5	 	051	008	01
2018	HS2017	0102294100-  	- - - - - For slaughter	5	 	051	008	01
2018	HS2017	0102294900-  	- - - - - Other	5	 	051	008	01
2018	HS2017	0102295100-  	- - - - - - For slaughter	5	 	051	008	01
2018	HS2017	0102295900-  	- - - - - - Other	5	 	051	008	01
2018	HS2017	0102296100-  	- - - - - - For slaughter	5	 	051	008	01
2018	HS2017	0102296900-  	- - - - - - Other	5	 	051	008	01
2018	HS2017	0102299100-  	- - - - - - For slaughter	5	 	051	008	01
2018	HS2017	0102299900-  	- - - - - - Other	5	 	051	008	01
2018	HS2017	0102310000-  	- - Pure-bred breeding animals	0	 	051	008	01
2018	HS2017	0102391000-  	- - - Domestic species	5	 	051	008	01
2018	HS2017	0102399000-  	- - - Other	5	 	051	008	01
2018	HS2017	0102902000-  	- - Pure-bred breeding animals	0	 	051	008	01
2018	HS2017	0102909100-  	- - - Domestic species	5	 	051	008	01
2018	HS2017	0102909900-  	- - - Other	5	 	051	008	01
2018	HS2017	0103100000-  	- - Pure-bred breeding animals	0	 	051	008	01
2018	HS2017	0103911000-  	- - - Domestic species	5	 	051	008	01
2018	HS2017	0103919000-  	- - - Other	5	 	051	008	01
2018	HS2017	0103921100-  	- - - -  Sows having farrowed at least once, of a weight of not less than 160 kg	5	 	051	008	01
