年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2018	HS2017	1001110000-  	- - Seed	0	 	051	008	10
2018	HS2017	1001190000-  	- - Other	5	 	051	008	10
2018	HS2017	1001911000-  	- - - Spelt	5	 	051	008	10
2018	HS2017	1001912000-  	- - - Common wheat and meslin	5	 	051	008	10
2018	HS2017	1001919000-  	- - - Other	0	 	051	008	10
2018	HS2017	1001990000-  	- - Other	5	 	051	008	10
2018	HS2017	1002100000-  	- Seed	5	 	051	008	10
2018	HS2017	1002900000-  	- Other	5	 	051	008	10
2018	HS2017	1003100000-  	- Seed	0	 	051	008	10
2018	HS2017	1003900000-  	- Other	0	 	051	008	10
2018	HS2017	1004100000-  	- Seed	5	 	051	008	10
2018	HS2017	1004900000-  	- Other	5	 	051	008	10
2018	HS2017	1005101300-  	- - - Three-cross hybrids	5	 	051	008	10
2018	HS2017	1005101500-  	- - - Simple hybrids	0	 	051	008	10
2018	HS2017	1005101801-  	- - - - Double hybrids and top cross hybrids	5	 	051	008	10
2018	HS2017	1005101809-  	- - - - Other	5	 	051	008	10
2018	HS2017	1005109000-  	- - Other	3	 	051	008	10
2018	HS2017	1005900000-  	- Other	0	 	051	008	10
2018	HS2017	1006101000-  	- - For sowing	10	 	051	008	10
2018	HS2017	1006102100-  	- - - - Short-grain	 	10% but not less than 0.03 euro per kg	051	008	10
2018	HS2017	1006102300-  	- - - - Medium-grain	 	10% but not less than 0.03 euro per kg	051	008	10
2018	HS2017	1006102500-  	- - - - - With the length to width ratio of over 2, but less than 3	 	10% but not less than 0.03 euro per kg	051	008	10
2018	HS2017	1006102700-  	- - - - - With the length to width ratio equal to or exceeding 3	0	 	051	008	10
2018	HS2017	1006109200-  	- - - - Short-grain	0	 	051	008	10
2018	HS2017	1006109400-  	- - - - Medium-grain	30	 	051	008	10
2018	HS2017	1006109600-  	- - - - - With the length to width ratio of over 2, but less than 3	 	10% but not less than 0.03 euro per kg	051	008	10
2018	HS2017	1006109800-  	- - - - - With the length to width ratio equal to or exceeding 3	 	10% but not less than 0.015 euro per kg	051	008	10
2018	HS2017	1006201100-  	- - - Short-grain	 	10% but not less than 0.03 euro per kg	051	008	10
2018	HS2017	1006201300-  	- - - Medium-grain	0	 	051	008	10
2018	HS2017	1006201500-  	- - - - With the length to width ratio of over 2, but less than 3	0	 	051	008	10
2018	HS2017	1006201700-  	- - - - With the length to width ratio equal to or exceeding 3	0	 	051	008	10
2018	HS2017	1006209200-  	- - - Short-grain	 	10% but not less than 0.03 euro per kg	051	008	10
2018	HS2017	1006209400-  	- - - Medium-grain	0	 	051	008	10
2018	HS2017	1006209600-  	- - - - With the length to width ratio of over 2, but less than 3	0	 	051	008	10
2018	HS2017	1006209800-  	- - - - With the length to width ratio equal to or exceeding 3	0	 	051	008	10
2018	HS2017	1006302100-  	- - - - Short-grain	 	10% but not less than 0.03 euro per kg	051	008	10
2018	HS2017	1006302300-  	- - - - Medium-grain	 	10% but not less than 0.03 euro per kg	051	008	10
2018	HS2017	1006302500-  	- - - - - With the length to width ratio of over 2, but less than 3	0	 	051	008	10
2018	HS2017	1006302700-  	- - - - - With the length to width ratio equal to or exceeding 3	0	 	051	008	10
2018	HS2017	1006304200-  	- - - - Short-grain	 	10% but not less than 0.03 euro per kg	051	008	10
2018	HS2017	1006304400-  	- - - - Medium-grain	 	10% but not less than 0.03 euro per kg	051	008	10
2018	HS2017	1006304600-  	- - - - - With the length to width ratio of over 2, but less than 3	0	 	051	008	10
2018	HS2017	1006304800-  	- - - - - With the length to width ratio equal to or exceeding 3	0	 	051	008	10
2018	HS2017	1006306100-  	- - - - Short-grain	 	10% but not less than 0.03 euro per kg	051	008	10
2018	HS2017	1006306300-  	- - - - Medium-grain	0	 	051	008	10
2018	HS2017	1006306500-  	- - - - - With the length to width ratio of over 2, but less than 3	0	 	051	008	10
2018	HS2017	1006306701-  	- - - - - - in the manner referred to in Additional Note 1 of the Eurasian Economic Union to this Chapter	0	 	051	008	10
2018	HS2017	1006306709-  	- - - - - - Other	0	 	051	008	10
2018	HS2017	1006309200-  	- - - - Short-grain	0	 	051	008	10
2018	HS2017	1006309400-  	- - - - Medium-grain	0	 	051	008	10
2018	HS2017	1006309600-  	- - - - - With the length to width ratio of over 2, but less than 3	0	 	051	008	10
2018	HS2017	1006309801-  	- - - - - - in the manner referred to in Additional Note 1 of the Eurasian Economic Union to this Chapter	0	 	051	008	10
2018	HS2017	1006309809-  	- - - - - - Other	0	 	051	008	10
2018	HS2017	1006400000-  	- Broken rice	0	 	051	008	10
2018	HS2017	1007101000-  	- - Hybrids	5	 	051	008	10
2018	HS2017	1007109000-  	- - Other	5	 	051	008	10
2018	HS2017	1007900000-  	- Other	5	 	051	008	10
2018	HS2017	1008100001-  	- - Seed	5	 	051	008	10
2018	HS2017	1008100009-  	- - Other	5	 	051	008	10
2018	HS2017	1008210000-  	- - Seed	5	 	051	008	10
2018	HS2017	1008290000-  	- - Other	5	 	051	008	10
2018	HS2017	1008300000-  	- Canary seeds	5	 	051	008	10
2018	HS2017	1008400000-  	- Fonio (Digitaria spp.)	5	 	051	008	10
2018	HS2017	1008500000-  	- Quinoa (Chenopodium quinoa)	5	 	051	008	10
2018	HS2017	1008600000-  	- Triticale	5	 	051	008	10
2018	HS2017	1008900000-  	- Other cereals	5	 	051	008	10
