年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2018	HS2017	2501001000-  	- Sea water and salt liquors	5	 	051	008	25
2018	HS2017	2501003100-  	- - For chemical transformation (separation of Na from Cl) for the manufacture of other products	5	 	051	008	25
2018	HS2017	2501005100-  	- - - Denatured or for industrial uses (including refining) other than the preservation or preparation of foodstuffs for human or animal consumption	5	 	051	008	25
2018	HS2017	2501009110-  	- - - - - Iodised	5	 	051	008	25
2018	HS2017	2501009190-  	- - - - - Other	5	 	051	008	25
2018	HS2017	2501009900-  	- - - - Other	5	 	051	008	25
2018	HS2017	2502000000-  	Unroasted iron pyrites	5	 	051	008	25
2018	HS2017	2503001000-  	- Crude or unrefined sulphur	5	 	051	008	25
2018	HS2017	2503009000-  	- Other	5	 	051	008	25
2018	HS2017	2504100000-  	- In powder or in flakes	5	 	051	008	25
2018	HS2017	2504900000-  	- Other	5	 	051	008	25
2018	HS2017	2505100000-  	- Silica sands and quartz sands	0	 	051	008	25
2018	HS2017	2505900000-  	- Other	5	 	051	008	25
2018	HS2017	2506100000-  	- Quartz	5	 	051	008	25
2018	HS2017	2506200000-  	- Quartzite	5	 	051	008	25
2018	HS2017	2507002000-  	- Kaolin	5	 	051	008	25
2018	HS2017	2507008000-  	- Other kaolinic clays	5	 	051	008	25
2018	HS2017	2508100000-  	- Bentonite	5	 	051	008	25
2018	HS2017	2508300000-  	- Fireclay	5	 	051	008	25
2018	HS2017	2508400000-  	- Other clays	5	 	051	008	25
2018	HS2017	2508500000-  	- Andalusite, kyanite and sillimanite	5	 	051	008	25
2018	HS2017	2508600000-  	- Mullite	5	 	051	008	25
2018	HS2017	2508700000-  	- Chamotte or dinas earths	5	 	051	008	25
2018	HS2017	2509000000-  	Chalk	0	 	051	008	25
2018	HS2017	2510100000-  	- Unground	5	 	051	008	25
2018	HS2017	2510200000-  	- Ground	5	 	051	008	25
2018	HS2017	2511100000-  	- Natural barium sulphate (barytes)	5	 	051	008	25
2018	HS2017	2511200000-  	- Natural barium carbonate (witherite)	5	 	051	008	25
2018	HS2017	2512000000-  	Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less	5	 	051	008	25
2018	HS2017	2513100000-  	- Pumice stone	5	 	051	008	25
2018	HS2017	2513200000-  	- Emery; natural corundum, natural garnet and other natural abrasives	5	 	051	008	25
2018	HS2017	2514000000-  	Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape	5	 	051	008	25
2018	HS2017	2515110000-  	- - Crude or roughly trimmed	5	 	051	008	25
2018	HS2017	2515120000-  	- - Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape	5	 	051	008	25
2018	HS2017	2515200000-  	- Ecaussine and other calcareous monumental or building stone; alabaster	5	 	051	008	25
2018	HS2017	2516110000-  	- - Crude or roughly trimmed	3	 	051	008	25
2018	HS2017	2516120000-  	- - Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape	3	 	051	008	25
2018	HS2017	2516200000-  	- Sandstone	3	 	051	008	25
2018	HS2017	2516900000-  	- Other monumental or building stone	3	 	051	008	25
2018	HS2017	2517101000-  	- - Pebbles, gravel, shingle and flint	5	 	051	008	25
2018	HS2017	2517102000-  	- - Limestone, dolomite and other calcareous stone, broken or crushed	5	 	051	008	25
2018	HS2017	2517108000-  	- - Other	5	 	051	008	25
2018	HS2017	2517200000-  	- Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in subheading 2517 10	5	 	051	008	25
2018	HS2017	2517300000-  	- Tarred macadam	5	 	051	008	25
2018	HS2017	2517410000-  	- - Of marble	5	 	051	008	25
2018	HS2017	2517490000-  	- - Other	5	 	051	008	25
2018	HS2017	2518100000-  	- Dolomite, not calcined or sintered	5	 	051	008	25
2018	HS2017	2518200000-  	- Calcined or sintered dolomite	5	 	051	008	25
2018	HS2017	2518300000-  	- Dolomite ramming mix	5	 	051	008	25
2018	HS2017	2519100000-  	- Natural magnesium carbonate (magnesite)	5	 	051	008	25
2018	HS2017	2519901000-  	- - Magnesium oxide, other than calcined natural magnesium carbonate	5	 	051	008	25
2018	HS2017	2519903000-  	- - Dead-burned (sintered) magnesia	5	 	051	008	25
2018	HS2017	2519909000-  	- - Other	5	 	051	008	25
2018	HS2017	2520100000-  	- Gypsum; anhydrite	0	 	051	008	25
2018	HS2017	2520200000-  	- Plasters	5	 	051	008	25
2018	HS2017	2521000000-  	Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement	5	 	051	008	25
2018	HS2017	2522100000-  	- Quicklime	5	 	051	008	25
2018	HS2017	2522200000-  	- Slaked lime	5	 	051	008	25
